prompt,step,base_prefix,reuse_prefix,base_p1,reuse_p1
code_histogram,1,1,1,1,1
code_histogram,2,0,0,0,0
code_histogram,3,0,2,0,1
code_histogram,4,5,1,1,1
code_histogram,5,5,5,1,1
code_histogram,6,4,4,1,1
code_histogram,7,5,5,1,1
code_histogram,8,5,5,1,1
code_sort_pairs,1,2,2,1,1
code_sort_pairs,2,4,1,1,1
code_sort_pairs,3,0,0,0,0
code_sort_pairs,4,0,2,0,1
code_sort_pairs,5,1,1,1,1
code_sort_pairs,6,0,0,0,0
code_sort_pairs,7,0,4,0,1
code_sort_pairs,8,0,4,0,1
code_topk,1,1,2,1,1
code_topk,2,1,0,1,0
code_topk,3,0,0,0,0
code_topk,4,0,3,0,1
code_topk,5,4,2,1,1
code_topk,6,5,3,1,1
code_topk,7,5,4,1,1
code_topk,8,5,5,1,1
grounded_archive,1,5,1,1,1
grounded_archive,2,5,4,1,1
grounded_archive,3,4,2,1,1
grounded_archive,4,3,3,1,1
grounded_archive,5,2,2,1,1
grounded_archive,6,1,5,1,1
grounded_archive,7,0,3,0,1
grounded_archive,8,2,2,1,1
grounded_observatory,1,2,2,1,1
grounded_observatory,2,1,3,1,1
grounded_observatory,3,0,2,0,1
grounded_observatory,4,1,1,1,1
grounded_observatory,5,2,0,1,0
grounded_observatory,6,2,1,1,1
grounded_observatory,7,0,4,0,1
grounded_observatory,8,3,3,1,1
grounded_repair,1,4,3,1,1
grounded_repair,2,2,2,1,1
grounded_repair,3,1,1,1,1
grounded_repair,4,0,0,0,0
grounded_repair,5,0,1,0,1
grounded_repair,6,5,5,1,1
grounded_repair,7,5,5,1,1
grounded_repair,8,2,4,1,1
mixed_exactness_smoke,1,3,1,1,1
mixed_exactness_smoke,2,2,2,1,1
mixed_exactness_smoke,3,1,1,1,1
mixed_exactness_smoke,4,2,3,1,1
mixed_exactness_smoke,5,2,3,1,1
mixed_exactness_smoke,6,2,2,1,1
mixed_exactness_smoke,7,2,1,1,1
mixed_exactness_smoke,8,0,1,0,1
synthesis_incident_json,1,3,1,1,1
synthesis_incident_json,2,2,2,1,1
synthesis_incident_json,3,1,3,1,1
synthesis_incident_json,4,5,5,1,1
synthesis_incident_json,5,5,2,1,1
synthesis_incident_json,6,2,2,1,1
synthesis_incident_json,7,4,3,1,1
synthesis_incident_json,8,1,3,1,1
synthesis_ops_json,1,1,1,1,1
synthesis_ops_json,2,0,0,0,0
synthesis_ops_json,3,1,1,1,1
synthesis_ops_json,4,0,0,0,0
synthesis_ops_json,5,4,4,1,1
synthesis_ops_json,6,3,3,1,1
synthesis_ops_json,7,2,2,1,1
synthesis_ops_json,8,3,3,1,1
synthesis_timeline_json,1,1,1,1,1
synthesis_timeline_json,2,0,0,0,0
synthesis_timeline_json,3,0,1,0,1
synthesis_timeline_json,4,0,0,0,0
synthesis_timeline_json,5,4,4,1,1
synthesis_timeline_json,6,3,3,1,1
synthesis_timeline_json,7,2,2,1,1
synthesis_timeline_json,8,1,1,1,1
