cell,prompt,temperature,average_prefix,match_pct,measure_steps
code_histogram__t0p0,code_histogram,0.0,1.0000,18.37,7
code_histogram__t0p5,code_histogram,0.5,1.0000,18.37,7
code_histogram__t1p0,code_histogram,1.0,1.0000,18.37,7
code_sort_pairs__t0p0,code_sort_pairs,0.0,0.4286,6.12,7
code_sort_pairs__t0p5,code_sort_pairs,0.5,0.7143,12.24,7
code_sort_pairs__t1p0,code_sort_pairs,1.0,0.7143,18.37,7
code_topk__t0p0,code_topk,0.0,0.5714,8.16,7
code_topk__t0p5,code_topk,0.5,0.5714,8.16,7
code_topk__t1p0,code_topk,1.0,0.7143,16.33,7
grounded_archive__t0p0,grounded_archive,0.0,0.7143,14.29,7
grounded_archive__t0p5,grounded_archive,0.5,0.7143,14.29,7
grounded_archive__t1p0,grounded_archive,1.0,0.7143,14.29,7
grounded_observatory__t0p0,grounded_observatory,0.0,0.7143,10.20,7
grounded_observatory__t0p5,grounded_observatory,0.5,0.7143,10.20,7
grounded_observatory__t1p0,grounded_observatory,1.0,0.7143,10.20,7
grounded_repair__t0p0,grounded_repair,0.0,1.7143,36.73,7
grounded_repair__t0p5,grounded_repair,0.5,1.7143,38.78,7
grounded_repair__t1p0,grounded_repair,1.0,1.7143,38.78,7
mixed_exactness_smoke__t0p0,mixed_exactness_smoke,0.0,0.5714,16.33,7
mixed_exactness_smoke__t0p5,mixed_exactness_smoke,0.5,0.5714,16.33,7
mixed_exactness_smoke__t1p0,mixed_exactness_smoke,1.0,0.5714,14.29,7
synthesis_incident_json__t0p0,synthesis_incident_json,0.0,0.8571,32.65,7
synthesis_incident_json__t0p5,synthesis_incident_json,0.5,0.8571,34.69,7
synthesis_incident_json__t1p0,synthesis_incident_json,1.0,0.8571,26.53,7
synthesis_ops_json__t0p0,synthesis_ops_json,0.0,1.0000,26.53,7
synthesis_ops_json__t0p5,synthesis_ops_json,0.5,1.0000,26.53,7
synthesis_ops_json__t1p0,synthesis_ops_json,1.0,0.5714,8.16,7
synthesis_timeline_json__t0p0,synthesis_timeline_json,0.0,1.2857,20.41,7
synthesis_timeline_json__t0p5,synthesis_timeline_json,0.5,1.0000,20.41,7
synthesis_timeline_json__t1p0,synthesis_timeline_json,1.0,1.0000,20.41,7
