prompt,temperature,reference_mode,prompt_tokens,average_prefix,match_pct,measure_steps,bundle_dir
code_sort_pairs,0.0,greedy,81,2.625,57.5,8,issue468/artifacts/exactness_small_bundles/code_sort_pairs__t0p0
code_sort_pairs,0.5,sampled-stream,81,0.875,30.0,8,issue468/artifacts/exactness_small_bundles/code_sort_pairs__t0p5
code_sort_pairs,1.0,sampled-stream,81,1.5,30.0,8,issue468/artifacts/exactness_small_bundles/code_sort_pairs__t1p0
code_topk,0.0,greedy,67,2.625,52.5,8,issue468/artifacts/exactness_small_bundles/code_topk__t0p0
code_topk,0.5,sampled-stream,67,2.625,52.5,8,issue468/artifacts/exactness_small_bundles/code_topk__t0p5
code_topk,1.0,sampled-stream,67,1.625,37.5,8,issue468/artifacts/exactness_small_bundles/code_topk__t1p0
code_histogram,0.0,greedy,70,3.125,80.0,8,issue468/artifacts/exactness_small_bundles/code_histogram__t0p0
code_histogram,0.5,sampled-stream,70,3.125,80.0,8,issue468/artifacts/exactness_small_bundles/code_histogram__t0p5
code_histogram,1.0,sampled-stream,70,3.125,80.0,8,issue468/artifacts/exactness_small_bundles/code_histogram__t1p0
grounded_observatory,0.0,greedy,113,1.375,35.0,8,issue468/artifacts/exactness_small_bundles/grounded_observatory__t0p0
grounded_observatory,0.5,sampled-stream,113,1.375,35.0,8,issue468/artifacts/exactness_small_bundles/grounded_observatory__t0p5
grounded_observatory,1.0,sampled-stream,113,1.375,35.0,8,issue468/artifacts/exactness_small_bundles/grounded_observatory__t1p0
grounded_archive,0.0,greedy,102,2.875,57.5,8,issue468/artifacts/exactness_small_bundles/grounded_archive__t0p0
grounded_archive,0.5,sampled-stream,102,2.75,55.0,8,issue468/artifacts/exactness_small_bundles/grounded_archive__t0p5
grounded_archive,1.0,sampled-stream,102,2.75,55.0,8,issue468/artifacts/exactness_small_bundles/grounded_archive__t1p0
grounded_repair,0.0,greedy,90,2.375,52.5,8,issue468/artifacts/exactness_small_bundles/grounded_repair__t0p0
grounded_repair,0.5,sampled-stream,90,2.375,52.5,8,issue468/artifacts/exactness_small_bundles/grounded_repair__t0p5
grounded_repair,1.0,sampled-stream,90,2.375,52.5,8,issue468/artifacts/exactness_small_bundles/grounded_repair__t1p0
synthesis_ops_json,0.0,greedy,165,1.75,40.0,8,issue468/artifacts/exactness_small_bundles/synthesis_ops_json__t0p0
synthesis_ops_json,0.5,sampled-stream,165,1.75,40.0,8,issue468/artifacts/exactness_small_bundles/synthesis_ops_json__t0p5
synthesis_ops_json,1.0,sampled-stream,165,3.0,62.5,8,issue468/artifacts/exactness_small_bundles/synthesis_ops_json__t1p0
synthesis_timeline_json,0.0,greedy,148,2.125,42.5,8,issue468/artifacts/exactness_small_bundles/synthesis_timeline_json__t0p0
synthesis_timeline_json,0.5,sampled-stream,148,1.375,32.5,8,issue468/artifacts/exactness_small_bundles/synthesis_timeline_json__t0p5
synthesis_timeline_json,1.0,sampled-stream,148,1.375,32.5,8,issue468/artifacts/exactness_small_bundles/synthesis_timeline_json__t1p0
synthesis_incident_json,0.0,greedy,121,2.75,57.5,8,issue468/artifacts/exactness_small_bundles/synthesis_incident_json__t0p0
synthesis_incident_json,0.5,sampled-stream,121,2.875,60.0,8,issue468/artifacts/exactness_small_bundles/synthesis_incident_json__t0p5
synthesis_incident_json,1.0,sampled-stream,121,2.25,55.0,8,issue468/artifacts/exactness_small_bundles/synthesis_incident_json__t1p0
mixed_exactness_smoke,0.0,greedy,94,1.75,35.0,8,issue468/artifacts/exactness_small_bundles/mixed_exactness_smoke__t0p0
mixed_exactness_smoke,0.5,sampled-stream,94,1.75,35.0,8,issue468/artifacts/exactness_small_bundles/mixed_exactness_smoke__t0p5
mixed_exactness_smoke,1.0,sampled-stream,94,1.5,30.0,8,issue468/artifacts/exactness_small_bundles/mixed_exactness_smoke__t1p0
