prompt,match,first_mismatch_token,batch_m1_target_ms,batch_m1_target_tps,spec_batch_mk_ms,spec_batch_mk_tps,decode_target_ms,decode_target_tps,spec_batch_m1_evals,spec_raw_m1_evals,spec_cycles
code_histogram,true,,1937.550,33.031406,1400.235,45.706614,1680.695,38.079485,0,0,21
code_sort_pairs,true,,1939.553,32.997294,1622.460,39.446273,1678.035,38.139848,0,0,26
code_topk,true,,1936.644,33.046858,1623.512,39.420713,1677.544,38.151011,1,0,26
grounded_archive,false,29,1940.671,32.978284,1978.669,32.344975,1677.633,38.148987,1,0,35
grounded_observatory,false,39,1943.526,32.929840,1943.510,32.930111,1682.049,38.048832,3,0,32
grounded_repair,true,,1938.241,33.019630,1336.480,47.886987,1682.737,38.033276,0,0,22
mixed_exactness_smoke,true,,1947.160,32.868383,2062.498,31.030333,1686.122,37.956921,5,0,37
synthesis_incident_json,false,21,1937.723,33.028457,2093.882,30.565237,1696.797,37.718124,1,0,39
synthesis_ops_json,false,11,1939.334,33.001020,1449.152,44.163759,1705.948,37.515798,0,0,21
synthesis_timeline_json,false,53,1939.711,32.994606,1598.820,40.029522,1718.252,37.247156,2,0,23
ALL,false,,19400.113,32.989499,17109.218,37.406736,16885.812,37.901642,13,0,282
