stage,scalar_count,differing_f32_words,max_abs,rms
hc_attn_pre,4096,0,0,0
attn_norm,4096,0,0,0
q_lora,1024,799,3.35276127e-08,9.85002631e-09
KVraw,512,405,2.98023224e-08,1.03124527e-08
q_lora_norm,1024,760,2.23517418e-08,5.40130002e-09
KVnorm,512,371,4.76837158e-07,8.08922167e-08
Qraw,32768,27962,1.19209290e-07,6.22657692e-09
Qnorm,32768,27913,1.90734863e-06,1.89013181e-07
Qcur,32768,27959,1.90734863e-06,1.90485952e-07
KVrope,512,375,4.76837158e-07,8.18724797e-08
KVcur,512,48,4.76837158e-07,3.91186663e-08
raw_cache,53760,0,0,0
kqv_out,32768,12367,1.54748559e-05,6.08926410e-07
kqv_back,32768,12392,1.86264515e-05,6.09106445e-07
attn_low,8192,7219,5.79655170e-06,7.20327040e-07
attn_out,4096,3995,1.71661377e-05,2.16892663e-06
hc_attn_post,16384,9563,3.87430191e-07,2.43190229e-08
