prompt,tokens,decode_ms,cycles,rows_compared,argmax_flips,max_abs_logit_diff,mean_tv,batch_m1_evals,raw_m1_evals
code_histogram,64,3590.093,20,44,0,2.32012,0.001983939,64,0
code_sort_pairs,64,3826.820,27,37,1,3.19228,0.006156005,64,0
code_topk,64,3691.906,24,40,0,2.34034,0.002234327,64,0
grounded_archive,64,4045.853,36,28,0,1.28646,0.004508121,64,0
grounded_observatory,64,4003.036,34,30,0,2.60468,0.003072673,64,0
grounded_repair,64,3478.725,20,44,0,1.22562,0.001279378,64,0
mixed_exactness_smoke,64,4218.112,38,26,0,3.93787,0.011890878,64,0
synthesis_incident_json,64,4042.739,34,30,1,2.16231,0.013673050,64,0
synthesis_ops_json,64,3809.364,27,37,0,2.20431,0.002532305,64,0
synthesis_timeline_json,64,3995.125,31,33,0,2.33099,0.001303340,64,0
ALL,640,38701.773,291,349,2,3.93787,0.004398850,640,0
