mode,boundary,values_compared,different_values,max_abs,batch_bytes,m1_bytes
qkv1_qb0,q_lora_norm,1024,0,0,8192,4096
qkv1_qb0,ProdQB,32768,26044,1.1920929e-07,262144,131072
qkv1_qb0,ProdQHeadNorm,32768,25855,1.90734863e-06,262144,131072
qkv1_qb0,Qcur,32768,25988,1.90734863e-06,262144,131072
qkv1_qb0,KVcur,512,0,0,4096,2048
qkv1_qb0,raw_cache,53760,0,0,217088,215040
qkv1_qb0,kqv_out,32768,14198,6.43730164e-06,262144,131072
qkv1_qb0,kqv_back,32768,14216,7.15255737e-06,262144,131072
qkv1_qb1,q_lora_norm,1024,0,0,8192,4096
qkv1_qb1,ProdQB,32768,0,0,262144,131072
qkv1_qb1,ProdQHeadNorm,32768,0,0,262144,131072
qkv1_qb1,Qcur,32768,0,0,262144,131072
qkv1_qb1,KVcur,512,0,0,4096,2048
qkv1_qb1,raw_cache,53760,0,0,217088,215040
qkv1_qb1,kqv_out,32768,0,0,262144,131072
qkv1_qb1,kqv_back,32768,0,0,262144,131072
