mode,boundary,values_compared,different_values,max_abs,batch_bytes,m1_bytes
oab0,kqv_back,32768,0,0,262144,131072
oab0,ProdOALow,8192,0,0,65536,32768
oab0,ProdOAOut,4096,3319,1.01327896e-06,32768,16384
oab0,hc_attn_post,16384,8801,2.23517418e-08,131072,65536
oab0,hc_ffn_pre,4096,3275,2.60770321e-08,32768,16384
oab0,ffn_norm,4096,3507,4.76837158e-07,32768,16384
oab0,hc_ffn_post,16384,10810,1.78813934e-07,131072,65536
oab1,kqv_back,32768,0,0,262144,131072
oab1,ProdOALow,8192,0,0,65536,32768
oab1,ProdOAOut,4096,0,0,32768,16384
oab1,hc_attn_post,16384,6269,7.4505806e-09,131072,65536
oab1,hc_ffn_pre,4096,1089,7.4505806e-09,32768,16384
oab1,ffn_norm,4096,2712,4.76837158e-07,32768,16384
oab1,hc_ffn_post,16384,10026,1.49011612e-07,131072,65536
