mode,boundary,values_compared,different_values,max_abs,batch_bytes,m1_bytes
mix0,ProdHCFlat,16384,0,0,131072,65536
mix0,ProdHCMix,24,14,6.10351562e-05,192,96
mix0,ProdHCSplit,24,15,5.96046448e-08,192,96
mix0,ProdHCSplit_4_24_consumed,20,15,5.96046448e-08,80,80
mix0,hc_attn_pre,4096,0,0,32768,16384
mix0,ProdOAOut,4096,0,0,32768,16384
mix0,ProdHCBlock,4096,0,0,32768,16384
mix0,ProdHCResidual,16384,0,0,131072,65536
mix0,hc_attn_post,16384,6269,7.4505806e-09,131072,65536
mix0,hc_ffn_pre,4096,1089,7.4505806e-09,32768,16384
mix0,ffn_norm,4096,2712,4.76837158e-07,32768,16384
mix0,hc_ffn_post,16384,10026,1.49011612e-07,131072,65536
mix1,ProdHCFlat,16384,0,0,131072,65536
mix1,ProdHCMix,24,0,0,192,96
mix1,ProdHCSplit,24,0,0,192,96
mix1,ProdHCSplit_4_24_consumed,20,0,0,80,80
mix1,hc_attn_pre,4096,0,0,32768,16384
mix1,ProdOAOut,4096,0,0,32768,16384
mix1,ProdHCBlock,4096,0,0,32768,16384
mix1,ProdHCResidual,16384,0,0,131072,65536
mix1,hc_attn_post,16384,0,0,131072,65536
mix1,hc_ffn_pre,4096,752,7.4505806e-09,32768,16384
mix1,ffn_norm,4096,701,5.96046448e-08,32768,16384
mix1,hc_ffn_post,16384,8628,1.1920929e-07,131072,65536
