mode,boundary,values_compared,different_values,max_abs,batch_bytes,m1_bytes
mix0,ProdFFNHCResidual,16384,0,0,131072,65536
mix0,ProdFFNHCFlat,16384,0,0,131072,65536
mix0,ProdFFNHCMix,24,14,1.52587891e-05,192,96
mix0,ProdFFNHCSplit,24,16,1.34110451e-07,192,96
mix0,hc_ffn_pre,4096,752,7.4505806e-09,32768,16384
mix0,ffn_norm,4096,701,5.96046448e-08,32768,16384
mix0,ffn_moe_logits,256,171,9.53674316e-07,2048,1024
mix0,ffn_moe_probs,256,56,2.38418579e-07,2048,1024
mix0,ffn_moe_topk,6,0,0,48,24
mix0,ffn_moe_weights_scaled,6,2,2.98023224e-08,48,24
mix0,hc_ffn_post,16384,8628,1.1920929e-07,131072,65536
mix1,ProdFFNHCResidual,16384,0,0,131072,65536
mix1,ProdFFNHCFlat,16384,0,0,131072,65536
mix1,ProdFFNHCMix,24,0,0,192,96
mix1,ProdFFNHCSplit,24,0,0,192,96
mix1,hc_ffn_pre,4096,0,0,32768,16384
mix1,ffn_norm,4096,0,0,32768,16384
mix1,ffn_moe_logits,256,186,9.53674316e-07,2048,1024
mix1,ffn_moe_probs,256,62,2.38418579e-07,2048,1024
mix1,ffn_moe_topk,6,0,0,48,24
mix1,ffn_moe_weights_scaled,6,2,2.98023224e-08,48,24
mix1,hc_ffn_post,16384,3079,8.94069672e-08,131072,65536
