timing,stratum,selector,role,n,mean_ms_per_layer,median_ms_per_layer,mad_ms_per_layer,median_ci_low,median_ci_high,median_delta_vs_companion_pct,paired_relative_median_pct,paired_ci_low_pct,paired_ci_high_pct
wall,overlap,0,production,20,0.592550,0.592500,0.008000,0.588000,0.599000,-1.003,-0.172,-2.510,0.842
wall,overlap,1,companion_zero,20,0.595850,0.598500,0.007500,0.592500,0.602500,0.000,0.000,0.000,0.000
wall,overlap,8,candidate,20,0.636450,0.643500,0.003500,0.635500,0.644500,7.519,6.919,5.901,7.577
wall,overlap,32,candidate,20,0.722550,0.726500,0.004500,0.723000,0.730500,21.387,21.079,20.381,22.389
wall,overlap,128,candidate,20,1.171350,1.174500,0.007000,1.168000,1.180500,96.241,96.237,94.462,97.976
wall,dispersed,0,production,20,0.587950,0.589000,0.005500,0.585500,0.593000,-1.669,-1.503,-2.636,-0.508
wall,dispersed,1,companion_zero,20,0.595950,0.599000,0.005000,0.594000,0.600500,0.000,0.000,0.000,0.000
wall,dispersed,8,candidate,20,0.635150,0.638500,0.004000,0.635500,0.642000,6.594,6.570,5.805,8.003
wall,dispersed,32,candidate,20,0.725000,0.726500,0.004500,0.724500,0.729500,21.285,21.964,20.451,22.747
wall,dispersed,128,candidate,20,1.175600,1.179000,0.003000,1.176000,1.181000,96.828,97.155,95.834,98.804
gate_up,overlap,0,production,20,0.419960,0.423035,0.004291,0.418535,0.425256,-1.219,-1.511,-2.698,0.053
gate_up,overlap,1,companion_zero,20,0.428588,0.428256,0.005128,0.423244,0.430872,0.000,0.000,0.000,0.000
gate_up,overlap,8,candidate,20,0.448953,0.452988,0.002919,0.449360,0.454174,5.775,5.541,4.558,6.407
gate_up,overlap,32,candidate,20,0.536917,0.538174,0.002721,0.536744,0.542279,25.667,25.999,24.958,27.823
gate_up,overlap,128,candidate,20,0.992071,0.993721,0.003035,0.990395,0.995674,132.039,131.433,130.274,135.314
gate_up,dispersed,0,production,20,0.426465,0.426651,0.003198,0.424407,0.429674,0.014,-0.335,-1.301,1.904
gate_up,dispersed,1,companion_zero,20,0.427009,0.426593,0.003860,0.424570,0.430779,0.000,0.000,0.000,0.000
gate_up,dispersed,8,candidate,20,0.450977,0.451384,0.005337,0.448535,0.452953,5.811,5.615,4.801,6.182
gate_up,dispersed,32,candidate,20,0.541051,0.541953,0.004198,0.540058,0.545291,27.042,27.053,25.640,28.230
gate_up,dispersed,128,candidate,20,0.993038,0.993977,0.002500,0.992186,0.996267,133.004,132.865,131.566,134.040
