stratum,round,order_position,selector,layer,gpu_ms
0,0,0,0,0,0.249750
0,0,0,0,1,0.248833
0,0,0,0,2,0.249875
0,0,0,0,3,0.248708
0,0,0,0,4,0.250042
0,0,0,0,5,0.245792
0,0,0,0,6,0.249250
0,0,0,0,7,0.248750
0,0,0,0,8,0.249292
0,0,0,0,9,0.249708
0,0,0,0,10,0.248750
0,0,0,0,11,0.249875
0,0,0,0,12,0.251667
0,0,0,0,13,0.249625
0,0,0,0,14,0.252292
0,0,0,0,15,0.249250
0,0,0,0,16,0.249000
0,0,0,0,17,0.249375
0,0,0,0,18,0.250250
0,0,0,0,19,0.249917
0,0,0,0,20,0.248750
0,0,0,0,21,0.249500
0,0,0,0,22,0.249917
0,0,0,0,23,0.249250
0,0,0,0,24,0.249083
0,0,0,0,25,0.249000
0,0,0,0,26,0.249625
0,0,0,0,27,0.249042
0,0,0,0,28,0.249375
0,0,0,0,29,0.249625
0,0,0,0,30,0.249000
0,0,0,0,31,0.249542
0,0,0,0,32,0.250000
0,0,0,0,33,0.248375
0,0,0,0,34,0.248333
0,0,0,0,35,0.249750
0,0,0,0,36,0.249208
0,0,0,0,37,0.248792
0,0,0,0,38,0.249500
0,0,0,0,39,0.248792
0,0,0,0,40,0.250667
0,0,0,0,41,0.249000
0,0,0,0,42,0.249375
0,0,1,2,0,0.248958
0,0,1,2,1,0.248042
0,0,1,2,2,0.251875
0,0,1,2,3,0.249708
0,0,1,2,4,0.249042
0,0,1,2,5,0.246250
0,0,1,2,6,0.247625
0,0,1,2,7,0.249000
0,0,1,2,8,0.249083
0,0,1,2,9,0.249375
0,0,1,2,10,0.249750
0,0,1,2,11,0.249583
0,0,1,2,12,0.249042
0,0,1,2,13,0.249583
0,0,1,2,14,0.250750
0,0,1,2,15,0.249875
0,0,1,2,16,0.249500
0,0,1,2,17,0.248917
0,0,1,2,18,0.249500
0,0,1,2,19,0.249208
0,0,1,2,20,0.248750
0,0,1,2,21,0.248792
0,0,1,2,22,0.249125
0,0,1,2,23,0.249000
0,0,1,2,24,0.248750
0,0,1,2,25,0.249167
0,0,1,2,26,0.249875
0,0,1,2,27,0.249750
0,0,1,2,28,0.250250
0,0,1,2,29,0.249375
0,0,1,2,30,0.249250
0,0,1,2,31,0.249667
0,0,1,2,32,0.250083
0,0,1,2,33,0.249125
0,0,1,2,34,0.249500
0,0,1,2,35,0.249875
0,0,1,2,36,0.249333
0,0,1,2,37,0.249500
0,0,1,2,38,0.250708
0,0,1,2,39,0.262500
0,0,1,2,40,0.250083
0,0,1,2,41,0.259375
0,0,1,2,42,0.250625
0,0,2,1,0,0.253625
0,0,2,1,1,0.254292
0,0,2,1,2,0.252958
0,0,2,1,3,0.254042
0,0,2,1,4,0.255333
0,0,2,1,5,0.254125
0,0,2,1,6,0.251625
0,0,2,1,7,0.254500
0,0,2,1,8,0.254292
0,0,2,1,9,0.252625
0,0,2,1,10,0.252250
0,0,2,1,11,0.253167
0,0,2,1,12,0.253500
0,0,2,1,13,0.252625
0,0,2,1,14,0.251875
0,0,2,1,15,0.253500
0,0,2,1,16,0.252875
0,0,2,1,17,0.252667
0,0,2,1,18,0.253042
0,0,2,1,19,0.253458
0,0,2,1,20,0.251875
0,0,2,1,21,0.252833
0,0,2,1,22,0.251000
0,0,2,1,23,0.252542
0,0,2,1,24,0.253958
0,0,2,1,25,0.252167
0,0,2,1,26,0.253958
0,0,2,1,27,0.253458
0,0,2,1,28,0.254417
0,0,2,1,29,0.253042
0,0,2,1,30,0.251083
0,0,2,1,31,0.253417
0,0,2,1,32,0.251667
0,0,2,1,33,0.252417
0,0,2,1,34,0.252958
0,0,2,1,35,0.251208
0,0,2,1,36,0.252167
0,0,2,1,37,0.252667
0,0,2,1,38,0.251417
0,0,2,1,39,0.252750
0,0,2,1,40,0.253625
0,0,2,1,41,0.252292
0,0,2,1,42,0.253625
0,0,3,32,0,0.368917
0,0,3,32,1,0.367417
0,0,3,32,2,0.368417
0,0,3,32,3,0.370375
0,0,3,32,4,0.370625
0,0,3,32,5,0.358208
0,0,3,32,6,0.359625
0,0,3,32,7,0.369667
0,0,3,32,8,0.368917
0,0,3,32,9,0.370625
0,0,3,32,10,0.369250
0,0,3,32,11,0.368250
0,0,3,32,12,0.368750
0,0,3,32,13,0.362042
0,0,3,32,14,0.370042
0,0,3,32,15,0.370458
0,0,3,32,16,0.369750
0,0,3,32,17,0.369750
0,0,3,32,18,0.370750
0,0,3,32,19,0.366500
0,0,3,32,20,0.367917
0,0,3,32,21,0.370583
0,0,3,32,22,0.370042
0,0,3,32,23,0.368750
0,0,3,32,24,0.368542
0,0,3,32,25,0.363833
0,0,3,32,26,0.370542
0,0,3,32,27,0.370458
0,0,3,32,28,0.371042
0,0,3,32,29,0.369625
0,0,3,32,30,0.366000
0,0,3,32,31,0.369250
0,0,3,32,32,0.369500
0,0,3,32,33,0.370875
0,0,3,32,34,0.355250
0,0,3,32,35,0.366750
0,0,3,32,36,0.369792
0,0,3,32,37,0.370500
0,0,3,32,38,0.370625
0,0,3,32,39,0.363375
0,0,3,32,40,0.364917
0,0,3,32,41,0.366333
0,0,3,32,42,0.369958
0,0,4,128,0,0.814667
0,0,4,128,1,0.815375
0,0,4,128,2,0.814750
0,0,4,128,3,0.816250
0,0,4,128,4,0.815750
0,0,4,128,5,0.806625
0,0,4,128,6,0.814375
0,0,4,128,7,0.815375
0,0,4,128,8,0.816875
0,0,4,128,9,0.816750
0,0,4,128,10,0.815375
0,0,4,128,11,0.815583
0,0,4,128,12,0.815375
0,0,4,128,13,0.814083
0,0,4,128,14,0.814958
0,0,4,128,15,0.815250
0,0,4,128,16,0.814667
0,0,4,128,17,0.815333
0,0,4,128,18,0.815250
0,0,4,128,19,0.815250
0,0,4,128,20,0.814375
0,0,4,128,21,0.814458
0,0,4,128,22,0.815250
0,0,4,128,23,0.815125
0,0,4,128,24,0.815000
0,0,4,128,25,0.815250
0,0,4,128,26,0.815042
0,0,4,128,27,0.814667
0,0,4,128,28,0.814667
0,0,4,128,29,0.818792
0,0,4,128,30,0.779708
0,0,4,128,31,0.814833
0,0,4,128,32,0.815750
0,0,4,128,33,0.815875
0,0,4,128,34,0.815667
0,0,4,128,35,0.815000
0,0,4,128,36,0.815542
0,0,4,128,37,0.814500
0,0,4,128,38,0.814625
0,0,4,128,39,0.815208
0,0,4,128,40,0.815292
0,0,4,128,41,0.815458
0,0,4,128,42,0.815500
0,1,0,2,0,0.249292
0,1,0,2,1,0.248875
0,1,0,2,2,0.249250
0,1,0,2,3,0.249125
0,1,0,2,4,0.248750
0,1,0,2,5,0.247542
0,1,0,2,6,0.249250
0,1,0,2,7,0.248625
0,1,0,2,8,0.249375
0,1,0,2,9,0.248958
0,1,0,2,10,0.249875
0,1,0,2,11,0.250125
0,1,0,2,12,0.249542
0,1,0,2,13,0.250750
0,1,0,2,14,0.249500
0,1,0,2,15,0.249625
0,1,0,2,16,0.249125
0,1,0,2,17,0.250792
0,1,0,2,18,0.249250
0,1,0,2,19,0.249042
0,1,0,2,20,0.248000
0,1,0,2,21,0.249667
0,1,0,2,22,0.248875
0,1,0,2,23,0.249708
0,1,0,2,24,0.249542
0,1,0,2,25,0.248458
0,1,0,2,26,0.250000
0,1,0,2,27,0.248750
0,1,0,2,28,0.248542
0,1,0,2,29,0.249875
0,1,0,2,30,0.248375
0,1,0,2,31,0.250000
0,1,0,2,32,0.249125
0,1,0,2,33,0.249625
0,1,0,2,34,0.249500
0,1,0,2,35,0.250625
0,1,0,2,36,0.247875
0,1,0,2,37,0.248875
0,1,0,2,38,0.250417
0,1,0,2,39,0.249417
0,1,0,2,40,0.249958
0,1,0,2,41,0.249000
0,1,0,2,42,0.248667
0,1,1,1,0,0.253583
0,1,1,1,1,0.252750
0,1,1,1,2,0.252750
0,1,1,1,3,0.253458
0,1,1,1,4,0.254000
0,1,1,1,5,0.248667
0,1,1,1,6,0.256542
0,1,1,1,7,0.255792
0,1,1,1,8,0.254583
0,1,1,1,9,0.254375
0,1,1,1,10,0.253500
0,1,1,1,11,0.253042
0,1,1,1,12,0.252958
0,1,1,1,13,0.253500
0,1,1,1,14,0.252792
0,1,1,1,15,0.253458
0,1,1,1,16,0.251833
0,1,1,1,17,0.252458
0,1,1,1,18,0.253500
0,1,1,1,19,0.250542
0,1,1,1,20,0.253083
0,1,1,1,21,0.252250
0,1,1,1,22,0.253083
0,1,1,1,23,0.251375
0,1,1,1,24,0.253208
0,1,1,1,25,0.252667
0,1,1,1,26,0.254250
0,1,1,1,27,0.253000
0,1,1,1,28,0.252875
0,1,1,1,29,0.250708
0,1,1,1,30,0.252625
0,1,1,1,31,0.253375
0,1,1,1,32,0.253000
0,1,1,1,33,0.250875
0,1,1,1,34,0.253708
0,1,1,1,35,0.252125
0,1,1,1,36,0.252667
0,1,1,1,37,0.252500
0,1,1,1,38,0.248917
0,1,1,1,39,0.251667
0,1,1,1,40,0.253375
0,1,1,1,41,0.251250
0,1,1,1,42,0.254833
0,1,2,32,0,0.370000
0,1,2,32,1,0.369875
0,1,2,32,2,0.368875
0,1,2,32,3,0.370667
0,1,2,32,4,0.372083
0,1,2,32,5,0.353583
0,1,2,32,6,0.370125
0,1,2,32,7,0.371167
0,1,2,32,8,0.369292
0,1,2,32,9,0.371208
0,1,2,32,10,0.368625
0,1,2,32,11,0.369750
0,1,2,32,12,0.368417
0,1,2,32,13,0.368750
0,1,2,32,14,0.371083
0,1,2,32,15,0.367500
0,1,2,32,16,0.367875
0,1,2,32,17,0.369125
0,1,2,32,18,0.370250
0,1,2,32,19,0.368458
0,1,2,32,20,0.366125
0,1,2,32,21,0.367750
0,1,2,32,22,0.367125
0,1,2,32,23,0.366875
0,1,2,32,24,0.368333
0,1,2,32,25,0.370375
0,1,2,32,26,0.366042
0,1,2,32,27,0.369750
0,1,2,32,28,0.369708
0,1,2,32,29,0.365625
0,1,2,32,30,0.366000
0,1,2,32,31,0.371000
0,1,2,32,32,0.369375
0,1,2,32,33,0.367917
0,1,2,32,34,0.353375
0,1,2,32,35,0.370500
0,1,2,32,36,0.368250
0,1,2,32,37,0.371542
0,1,2,32,38,0.369000
0,1,2,32,39,0.370042
0,1,2,32,40,0.370167
0,1,2,32,41,0.366875
0,1,2,32,42,0.366500
0,1,3,128,0,0.815625
0,1,3,128,1,0.815292
0,1,3,128,2,0.815375
0,1,3,128,3,0.814417
0,1,3,128,4,0.814500
0,1,3,128,5,0.809250
0,1,3,128,6,0.814625
0,1,3,128,7,0.814792
0,1,3,128,8,0.814250
0,1,3,128,9,0.814625
0,1,3,128,10,0.814667
0,1,3,128,11,0.814625
0,1,3,128,12,0.814875
0,1,3,128,13,0.815625
0,1,3,128,14,0.814417
0,1,3,128,15,0.813917
0,1,3,128,16,0.815208
0,1,3,128,17,0.814625
0,1,3,128,18,0.815125
0,1,3,128,19,0.815000
0,1,3,128,20,0.816125
0,1,3,128,21,0.814625
0,1,3,128,22,0.814375
0,1,3,128,23,0.815500
0,1,3,128,24,0.815000
0,1,3,128,25,0.813667
0,1,3,128,26,0.814750
0,1,3,128,27,0.814125
0,1,3,128,28,0.815625
0,1,3,128,29,0.816917
0,1,3,128,30,0.819292
0,1,3,128,31,0.813625
0,1,3,128,32,0.814500
0,1,3,128,33,0.815375
0,1,3,128,34,0.815042
0,1,3,128,35,0.814167
0,1,3,128,36,0.815458
0,1,3,128,37,0.814917
0,1,3,128,38,0.815000
0,1,3,128,39,0.814208
0,1,3,128,40,0.814875
0,1,3,128,41,0.815917
0,1,3,128,42,0.816125
0,1,4,0,0,0.250750
0,1,4,0,1,0.250375
0,1,4,0,2,0.249750
0,1,4,0,3,0.249750
0,1,4,0,4,0.249625
0,1,4,0,5,0.246042
0,1,4,0,6,0.250417
0,1,4,0,7,0.249125
0,1,4,0,8,0.250292
0,1,4,0,9,0.248875
0,1,4,0,10,0.249042
0,1,4,0,11,0.249083
0,1,4,0,12,0.248875
0,1,4,0,13,0.249125
0,1,4,0,14,0.249250
0,1,4,0,15,0.248958
0,1,4,0,16,0.249125
0,1,4,0,17,0.248708
0,1,4,0,18,0.249708
0,1,4,0,19,0.249125
0,1,4,0,20,0.249375
0,1,4,0,21,0.249417
0,1,4,0,22,0.248875
0,1,4,0,23,0.248458
0,1,4,0,24,0.249000
0,1,4,0,25,0.249375
0,1,4,0,26,0.248917
0,1,4,0,27,0.248375
0,1,4,0,28,0.249583
0,1,4,0,29,0.248125
0,1,4,0,30,0.261042
0,1,4,0,31,0.249875
0,1,4,0,32,0.258375
0,1,4,0,33,0.248542
0,1,4,0,34,0.248750
0,1,4,0,35,0.249042
0,1,4,0,36,0.249500
0,1,4,0,37,0.247625
0,1,4,0,38,0.249875
0,1,4,0,39,0.249500
0,1,4,0,40,0.248750
0,1,4,0,41,0.248083
0,1,4,0,42,0.249000
0,2,0,1,0,0.252708
0,2,0,1,1,0.253792
0,2,0,1,2,0.253083
0,2,0,1,3,0.253167
0,2,0,1,4,0.253000
0,2,0,1,5,0.248000
0,2,0,1,6,0.254875
0,2,0,1,7,0.256500
0,2,0,1,8,0.254458
0,2,0,1,9,0.252750
0,2,0,1,10,0.251667
0,2,0,1,11,0.252083
0,2,0,1,12,0.253000
0,2,0,1,13,0.252208
0,2,0,1,14,0.253000
0,2,0,1,15,0.253250
0,2,0,1,16,0.251167
0,2,0,1,17,0.253375
0,2,0,1,18,0.252625
0,2,0,1,19,0.250750
0,2,0,1,20,0.251167
0,2,0,1,21,0.252333
0,2,0,1,22,0.253625
0,2,0,1,23,0.252000
0,2,0,1,24,0.253625
0,2,0,1,25,0.252750
0,2,0,1,26,0.255125
0,2,0,1,27,0.253625
0,2,0,1,28,0.251917
0,2,0,1,29,0.251250
0,2,0,1,30,0.250708
0,2,0,1,31,0.253792
0,2,0,1,32,0.252708
0,2,0,1,33,0.253000
0,2,0,1,34,0.252333
0,2,0,1,35,0.251750
0,2,0,1,36,0.251958
0,2,0,1,37,0.252750
0,2,0,1,38,0.252625
0,2,0,1,39,0.250375
0,2,0,1,40,0.253375
0,2,0,1,41,0.253917
0,2,0,1,42,0.253083
0,2,1,32,0,0.359042
0,2,1,32,1,0.369750
0,2,1,32,2,0.368000
0,2,1,32,3,0.370375
0,2,1,32,4,0.369375
0,2,1,32,5,0.353125
0,2,1,32,6,0.363125
0,2,1,32,7,0.370375
0,2,1,32,8,0.372375
0,2,1,32,9,0.370667
0,2,1,32,10,0.368417
0,2,1,32,11,0.370208
0,2,1,32,12,0.370167
0,2,1,32,13,0.368125
0,2,1,32,14,0.366250
0,2,1,32,15,0.370417
0,2,1,32,16,0.368792
0,2,1,32,17,0.369000
0,2,1,32,18,0.368625
0,2,1,32,19,0.362625
0,2,1,32,20,0.364125
0,2,1,32,21,0.369833
0,2,1,32,22,0.367625
0,2,1,32,23,0.368875
0,2,1,32,24,0.371167
0,2,1,32,25,0.368000
0,2,1,32,26,0.369583
0,2,1,32,27,0.365125
0,2,1,32,28,0.369250
0,2,1,32,29,0.368458
0,2,1,32,30,0.369250
0,2,1,32,31,0.360375
0,2,1,32,32,0.369000
0,2,1,32,33,0.370250
0,2,1,32,34,0.369792
0,2,1,32,35,0.371625
0,2,1,32,36,0.356667
0,2,1,32,37,0.370875
0,2,1,32,38,0.370417
0,2,1,32,39,0.370125
0,2,1,32,40,0.368833
0,2,1,32,41,0.370375
0,2,1,32,42,0.368750
0,2,2,128,0,0.815250
0,2,2,128,1,0.815042
0,2,2,128,2,0.814875
0,2,2,128,3,0.815458
0,2,2,128,4,0.815250
0,2,2,128,5,0.809125
0,2,2,128,6,0.815250
0,2,2,128,7,0.814042
0,2,2,128,8,0.814250
0,2,2,128,9,0.815500
0,2,2,128,10,0.815125
0,2,2,128,11,0.815333
0,2,2,128,12,0.981250
0,2,2,128,13,0.794125
0,2,2,128,14,0.814375
0,2,2,128,15,0.814708
0,2,2,128,16,0.815792
0,2,2,128,17,0.816250
0,2,2,128,18,0.814500
0,2,2,128,19,0.815375
0,2,2,128,20,0.814625
0,2,2,128,21,0.815000
0,2,2,128,22,0.815625
0,2,2,128,23,0.815500
0,2,2,128,24,0.793917
0,2,2,128,25,0.815167
0,2,2,128,26,0.815208
0,2,2,128,27,0.814750
0,2,2,128,28,0.815875
0,2,2,128,29,0.815125
0,2,2,128,30,0.818500
0,2,2,128,31,0.775875
0,2,2,128,32,0.913417
0,2,2,128,33,0.871167
0,2,2,128,34,0.815250
0,2,2,128,35,0.816125
0,2,2,128,36,0.815000
0,2,2,128,37,0.816083
0,2,2,128,38,0.985750
0,2,2,128,39,0.814375
0,2,2,128,40,0.816667
0,2,2,128,41,0.815875
0,2,2,128,42,0.814500
0,2,3,0,0,0.250000
0,2,3,0,1,0.249125
0,2,3,0,2,0.249208
0,2,3,0,3,0.251750
0,2,3,0,4,0.251583
0,2,3,0,5,0.245958
0,2,3,0,6,0.248667
0,2,3,0,7,0.248625
0,2,3,0,8,0.249000
0,2,3,0,9,0.432500
0,2,3,0,10,0.250833
0,2,3,0,11,0.249875
0,2,3,0,12,0.249667
0,2,3,0,13,0.253625
0,2,3,0,14,0.249792
0,2,3,0,15,0.249625
0,2,3,0,16,0.249875
0,2,3,0,17,0.250625
0,2,3,0,18,0.249750
0,2,3,0,19,0.249000
0,2,3,0,20,0.249250
0,2,3,0,21,0.250458
0,2,3,0,22,0.250333
0,2,3,0,23,0.249750
0,2,3,0,24,0.249625
0,2,3,0,25,0.249958
0,2,3,0,26,0.407625
0,2,3,0,27,0.244750
0,2,3,0,28,0.249750
0,2,3,0,29,0.248000
0,2,3,0,30,0.249625
0,2,3,0,31,0.250958
0,2,3,0,32,0.254375
0,2,3,0,33,0.246000
0,2,3,0,34,0.251000
0,2,3,0,35,0.248875
0,2,3,0,36,0.249042
0,2,3,0,37,0.249583
0,2,3,0,38,0.250792
0,2,3,0,39,0.249333
0,2,3,0,40,0.250250
0,2,3,0,41,0.251125
0,2,3,0,42,0.249333
0,2,4,2,0,0.251000
0,2,4,2,1,0.248375
0,2,4,2,2,0.409625
0,2,4,2,3,0.249333
0,2,4,2,4,0.248125
0,2,4,2,5,0.249167
0,2,4,2,6,0.253292
0,2,4,2,7,0.252250
0,2,4,2,8,0.256917
0,2,4,2,9,0.250375
0,2,4,2,10,0.251000
0,2,4,2,11,0.250875
0,2,4,2,12,0.250750
0,2,4,2,13,0.249000
0,2,4,2,14,0.249250
0,2,4,2,15,0.250000
0,2,4,2,16,0.250542
0,2,4,2,17,0.249625
0,2,4,2,18,0.249667
0,2,4,2,19,0.249958
0,2,4,2,20,0.250333
0,2,4,2,21,0.417375
0,2,4,2,22,0.251083
0,2,4,2,23,0.250375
0,2,4,2,24,0.248583
0,2,4,2,25,0.249250
0,2,4,2,26,0.250125
0,2,4,2,27,0.254625
0,2,4,2,28,0.253125
0,2,4,2,29,0.251000
0,2,4,2,30,0.249167
0,2,4,2,31,0.250792
0,2,4,2,32,0.249083
0,2,4,2,33,0.249250
0,2,4,2,34,0.249000
0,2,4,2,35,0.250542
0,2,4,2,36,0.249250
0,2,4,2,37,0.248833
0,2,4,2,38,0.248875
0,2,4,2,39,0.251167
0,2,4,2,40,0.249625
0,2,4,2,41,0.410500
0,2,4,2,42,0.246333
0,3,0,32,0,0.367750
0,3,0,32,1,0.370000
0,3,0,32,2,0.371708
0,3,0,32,3,0.370000
0,3,0,32,4,0.369375
0,3,0,32,5,0.356833
0,3,0,32,6,0.362708
0,3,0,32,7,0.371375
0,3,0,32,8,0.368875
0,3,0,32,9,0.369750
0,3,0,32,10,0.370375
0,3,0,32,11,0.366833
0,3,0,32,12,0.370750
0,3,0,32,13,0.528875
0,3,0,32,14,0.356875
0,3,0,32,15,0.365250
0,3,0,32,16,0.364875
0,3,0,32,17,0.370250
0,3,0,32,18,0.369667
0,3,0,32,19,0.369750
0,3,0,32,20,0.368583
0,3,0,32,21,0.365125
0,3,0,32,22,0.370208
0,3,0,32,23,0.369958
0,3,0,32,24,0.368208
0,3,0,32,25,0.369708
0,3,0,32,26,0.370875
0,3,0,32,27,0.368250
0,3,0,32,28,0.368958
0,3,0,32,29,0.369625
0,3,0,32,30,0.370000
0,3,0,32,31,0.370583
0,3,0,32,32,0.365458
0,3,0,32,33,0.370750
0,3,0,32,34,0.369875
0,3,0,32,35,0.368292
0,3,0,32,36,0.371042
0,3,0,32,37,0.370542
0,3,0,32,38,0.369583
0,3,0,32,39,0.351000
0,3,0,32,40,0.371625
0,3,0,32,41,0.374750
0,3,0,32,42,0.370375
0,3,1,128,0,0.817458
0,3,1,128,1,0.797417
0,3,1,128,2,0.816875
0,3,1,128,3,0.820750
0,3,1,128,4,0.814708
0,3,1,128,5,0.815125
0,3,1,128,6,0.814500
0,3,1,128,7,0.813917
0,3,1,128,8,0.820375
0,3,1,128,9,0.823875
0,3,1,128,10,0.803250
0,3,1,128,11,0.816167
0,3,1,128,12,0.817708
0,3,1,128,13,0.815958
0,3,1,128,14,0.815542
0,3,1,128,15,0.815250
0,3,1,128,16,0.815250
0,3,1,128,17,0.815167
0,3,1,128,18,0.955875
0,3,1,128,19,0.815875
0,3,1,128,20,0.816250
0,3,1,128,21,0.814333
0,3,1,128,22,0.815083
0,3,1,128,23,0.813875
0,3,1,128,24,0.815000
0,3,1,128,25,0.954083
0,3,1,128,26,0.815875
0,3,1,128,27,0.818125
0,3,1,128,28,0.819625
0,3,1,128,29,0.848167
0,3,1,128,30,0.814500
0,3,1,128,31,0.815292
0,3,1,128,32,0.814667
0,3,1,128,33,0.815125
0,3,1,128,34,0.959125
0,3,1,128,35,0.816250
0,3,1,128,36,0.817750
0,3,1,128,37,0.814375
0,3,1,128,38,0.814583
0,3,1,128,39,0.814500
0,3,1,128,40,0.814625
0,3,1,128,41,0.815000
0,3,1,128,42,0.817583
0,3,2,0,0,0.250250
0,3,2,0,1,0.249000
0,3,2,0,2,0.246917
0,3,2,0,3,0.254417
0,3,2,0,4,0.253208
0,3,2,0,5,0.251208
0,3,2,0,6,0.250500
0,3,2,0,7,0.250208
0,3,2,0,8,0.250458
0,3,2,0,9,0.250250
0,3,2,0,10,0.250292
0,3,2,0,11,0.250042
0,3,2,0,12,0.250583
0,3,2,0,13,0.259583
0,3,2,0,14,0.249375
0,3,2,0,15,0.411500
0,3,2,0,16,0.249125
0,3,2,0,17,0.250542
0,3,2,0,18,0.249125
0,3,2,0,19,0.248708
0,3,2,0,20,0.248917
0,3,2,0,21,0.250625
0,3,2,0,22,0.247833
0,3,2,0,23,0.253292
0,3,2,0,24,0.249625
0,3,2,0,25,0.250708
0,3,2,0,26,0.248750
