stratum,round,order_position,selector,layers,gpu_ms,kernel_ms,wall_ms
0,0,0,0,43,10.723500,1.177791,18.294000
0,0,1,2,43,10.747125,1.175458,18.346000
0,0,2,1,43,10.876917,1.128833,18.324000
0,0,3,32,43,15.822792,1.110833,22.900000
0,0,4,128,43,35.013500,1.048292,42.041000
0,1,0,2,43,10.719542,1.084500,17.775000
0,1,1,1,43,10.871500,1.063833,18.003000
0,1,2,32,43,15.834959,1.122084,22.865000
0,1,3,128,43,35.040042,1.091583,42.348000
0,1,4,0,43,10.733458,1.088625,17.875000
0,2,0,1,43,10.865250,1.135416,18.091000
0,2,1,32,43,15.817209,1.040666,22.671000
0,2,2,128,43,35.460250,1.180958,42.808000
0,2,3,0,43,11.078875,1.099916,18.727000
0,2,4,2,43,11.247417,1.179333,18.538000
0,3,0,32,43,15.995250,1.448000,23.341000
0,3,1,128,43,35.514833,1.307458,43.249000
0,3,2,0,43,11.098500,1.382875,18.606000
0,3,3,2,43,10.870917,1.378208,18.157000
0,3,4,1,43,11.202875,1.303417,19.286000
0,4,0,128,43,35.658250,1.466042,43.851000
0,4,1,0,43,11.004042,1.167250,18.233000
0,4,2,2,43,11.059500,0.988750,18.226000
0,4,3,1,43,11.267333,0.982334,18.539000
0,4,4,32,43,16.002875,1.281875,23.100000
0,5,0,0,43,10.737583,1.061292,17.930000
0,5,1,128,43,35.046208,1.031958,42.569000
0,5,2,32,43,15.808709,1.132500,23.017000
0,5,3,1,43,10.843917,1.081250,18.080000
0,5,4,2,43,10.726042,1.094542,17.348000
0,6,0,2,43,10.710417,1.080083,18.065000
0,6,1,0,43,10.741792,1.154917,18.220000
0,6,2,128,43,35.044458,1.061750,42.117000
0,6,3,32,43,15.832417,1.038709,22.850000
0,6,4,1,43,10.876125,1.104917,17.906000
0,7,0,1,43,10.857166,1.107792,18.303000
0,7,1,2,43,10.738542,1.335833,19.457000
0,7,2,0,43,11.029375,1.150792,18.908000
0,7,3,128,43,35.808208,1.275333,44.002000
0,7,4,32,43,16.291375,1.216958,23.796000
0,8,0,32,43,16.227833,1.088583,23.099000
0,8,1,1,43,11.135042,0.993042,18.383000
0,8,2,2,43,11.187458,1.029792,18.471000
0,8,3,0,43,11.075000,1.080583,18.623000
0,8,4,128,43,35.371417,1.026167,42.626000
0,9,0,128,43,35.017000,1.066584,42.349000
0,9,1,32,43,15.844916,1.169167,22.953000
0,9,2,1,43,10.855750,1.077125,17.963000
0,9,3,2,43,10.726167,1.102708,17.931000
0,9,4,0,43,10.715958,1.093334,18.111000
0,10,0,0,43,10.724708,1.077375,17.915000
0,10,1,2,43,10.832583,1.170583,18.309000
0,10,2,1,43,11.105667,1.255292,18.303000
0,10,3,32,43,16.259584,1.096833,23.382000
0,10,4,128,43,35.780417,1.290334,43.497000
0,11,0,2,43,11.042667,1.196917,18.725000
0,11,1,1,43,11.118417,1.094541,18.363000
0,11,2,32,43,15.987125,1.090458,23.026000
0,11,3,128,43,34.961583,1.155000,42.830000
0,11,4,0,43,10.729292,1.119292,18.349000
0,12,0,1,43,10.864500,1.113750,18.000000
0,12,1,32,43,15.811458,1.086500,22.881000
0,12,2,128,43,35.005250,1.067708,42.149000
0,12,3,0,43,10.715083,1.066958,18.027000
0,12,4,2,43,10.732417,1.028583,17.798000
0,13,0,32,43,15.826166,1.098083,22.938000
0,13,1,128,43,34.958625,1.062167,42.208000
0,13,2,0,43,10.712875,1.070000,18.102000
0,13,3,2,43,10.719708,1.089292,17.793000
0,13,4,1,43,10.849291,1.087792,18.277000
0,14,0,128,43,34.972625,1.070000,42.035000
0,14,1,0,43,10.728250,1.140167,18.225000
0,14,2,2,43,10.718875,1.072084,18.222000
0,14,3,1,43,10.849833,1.138333,18.358000
0,14,4,32,43,15.847334,1.184625,23.209000
0,15,0,0,43,10.751709,1.185292,19.084000
0,15,1,128,43,35.054750,1.113458,42.556000
0,15,2,32,43,15.885583,1.158584,23.536000
0,15,3,1,43,11.137209,0.976292,18.340000
0,15,4,2,43,10.748542,0.993917,17.963000
0,16,0,2,43,10.744375,1.040208,18.410000
0,16,1,0,43,10.733292,1.010542,18.137000
0,16,2,128,43,35.043875,0.989083,42.158000
0,16,3,32,43,15.818958,1.032542,22.780000
0,16,4,1,43,10.854208,1.025042,18.252000
0,17,0,1,43,10.873958,1.061208,18.211000
0,17,1,2,43,10.733542,1.042375,18.326000
0,17,2,0,43,10.725375,1.043333,17.826000
0,17,3,128,43,35.014708,0.995042,41.859000
0,17,4,32,43,15.843667,1.007083,22.640000
0,18,0,32,43,15.839875,1.001167,22.518000
0,18,1,1,43,10.860500,0.999917,17.969000
0,18,2,2,43,10.729583,1.027584,17.980000
0,18,3,0,43,10.725625,1.196833,18.288000
0,18,4,128,43,35.071875,1.389542,43.970000
0,19,0,128,43,35.043417,1.081000,42.322000
0,19,1,32,43,15.852333,1.056375,22.871000
0,19,2,1,43,10.864500,1.032000,18.214000
0,19,3,2,43,10.717500,1.011833,18.090000
0,19,4,0,43,10.721125,0.995667,17.764000
0,20,0,0,43,10.747375,1.051500,18.370000
0,20,1,2,43,10.761958,1.118917,18.200000
0,20,2,1,43,10.863041,1.014333,18.213000
0,20,3,32,43,15.870917,1.024375,22.625000
0,20,4,128,43,35.014708,1.061583,42.123000
0,21,0,2,43,10.735250,1.013833,17.748000
0,21,1,1,43,10.852250,0.990625,18.228000
0,21,2,32,43,15.845500,1.056500,22.893000
0,21,3,128,43,34.987708,1.021417,42.063000
0,21,4,0,43,10.747000,1.124292,18.138000
0,22,0,1,43,10.858000,1.143375,18.176000
0,22,1,32,43,15.852208,1.029333,22.593000
0,22,2,128,43,35.017625,1.411750,43.646000
0,22,3,0,43,10.731291,1.098667,18.014000
0,22,4,2,43,10.731875,1.126458,18.333000
0,23,0,32,43,15.882875,1.154208,23.093000
0,23,1,128,43,35.042584,1.133209,42.685000
0,23,2,0,43,10.732417,1.103667,18.115000
0,23,3,2,43,10.713458,1.107750,18.175000
0,23,4,1,43,10.861375,1.126125,18.148000
0,24,0,128,43,35.005083,1.020125,42.168000
0,24,1,0,43,10.733792,1.114583,18.098000
0,24,2,2,43,10.714958,1.127667,18.307000
0,24,3,1,43,10.887083,1.148917,18.125000
0,24,4,32,43,15.865750,1.107667,23.005000
0,25,0,0,43,10.725291,1.079292,18.166000
0,25,1,128,43,35.008292,1.098167,42.247000
0,25,2,32,43,15.847875,1.126917,22.807000
