stratum,selector,role,comparison_selector,n,mean_gpu_ms,median_gpu_ms,mad_gpu_ms,median_ci_low_ms,median_ci_high_ms,paired_relative_median_pct,paired_ci_low_pct,paired_ci_high_pct
overlap,0,production,,30,10.795674,10.733375,0.009271,10.726938,10.739688,0.000000,0.000000,0.000000
overlap,2,production_duplicate,0,30,10.792744,10.734396,0.013438,10.727875,10.742397,0.021172,-0.064454,0.099264
overlap,1,companion_zero,0,30,10.922671,10.864791,0.010959,10.860938,10.875042,1.254033,1.148805,1.340975
overlap,32,candidate_r32,1,30,15.899690,15.846417,0.020396,15.841771,15.862562,45.762223,45.652153,45.934099
overlap,128,candidate_r128,1,30,35.136429,35.040125,0.031792,35.014708,35.045333,222.319900,222.133103,222.527520
dispersed,0,production,,30,10.790576,10.755771,0.011437,10.749271,10.765667,0.000000,0.000000,0.000000
dispersed,2,production_duplicate,0,30,10.794339,10.760333,0.014771,10.751084,10.767708,0.056743,-0.070734,0.154153
dispersed,1,companion_zero,0,30,10.899217,10.876333,0.011979,10.869333,10.884729,1.152845,1.054250,1.194583
dispersed,32,candidate_r32,1,30,15.886578,15.856291,0.016667,15.850229,15.880479,45.794575,45.659900,46.013764
dispersed,128,candidate_r128,1,30,35.071031,35.037563,0.018771,35.023229,35.048563,222.065779,221.761433,222.578395
