stratum,round,selector,layer,gpu_ms
0,0,0,0,0.246875
0,0,0,1,0.246917
0,0,0,2,0.247333
0,0,0,3,0.247625
0,0,0,4,0.247917
0,0,0,5,0.247458
0,0,0,6,0.249833
0,0,0,7,0.247167
0,0,0,8,0.246833
0,0,0,9,0.248333
0,0,0,10,0.247875
0,0,0,11,0.247500
0,0,0,12,0.247583
0,0,0,13,0.246708
0,0,0,14,0.248250
0,0,0,15,0.248375
0,0,0,16,0.248792
0,0,0,17,0.248000
0,0,0,18,0.249375
0,0,0,19,0.249042
0,0,0,20,0.247375
0,0,0,21,0.247125
0,0,0,22,0.248500
0,0,0,23,0.247875
0,0,0,24,0.248500
0,0,0,25,0.248375
0,0,0,26,0.248458
0,0,0,27,0.248583
0,0,0,28,0.248542
0,0,0,29,0.248458
0,0,0,30,0.248625
0,0,0,31,0.246375
0,0,0,32,0.245292
0,0,0,33,0.246625
0,0,0,34,0.247250
0,0,0,35,0.248250
0,0,0,36,0.247500
0,0,0,37,0.248000
0,0,0,38,0.247917
0,0,0,39,0.248042
0,0,0,40,0.248125
0,0,0,41,0.248750
0,0,0,42,0.248625
0,0,2,0,0.247875
0,0,2,1,0.247875
0,0,2,2,0.248667
0,0,2,3,0.248208
0,0,2,4,0.248875
0,0,2,5,0.247708
0,0,2,6,0.247750
0,0,2,7,0.247125
0,0,2,8,0.249125
0,0,2,9,0.247417
0,0,2,10,0.247625
0,0,2,11,0.245750
0,0,2,12,0.247292
0,0,2,13,0.246750
0,0,2,14,0.247250
0,0,2,15,0.249167
0,0,2,16,0.248250
0,0,2,17,0.249458
0,0,2,18,0.248167
0,0,2,19,0.248167
0,0,2,20,0.247792
0,0,2,21,0.246750
0,0,2,22,0.247458
0,0,2,23,0.248500
0,0,2,24,0.248417
0,0,2,25,0.248250
0,0,2,26,0.247875
0,0,2,27,0.249625
0,0,2,28,0.247625
0,0,2,29,0.247875
0,0,2,30,0.247583
0,0,2,31,0.246250
0,0,2,32,0.247833
0,0,2,33,0.247625
0,0,2,34,0.247375
0,0,2,35,0.247208
0,0,2,36,0.247875
0,0,2,37,0.248875
0,0,2,38,0.247333
0,0,2,39,0.247875
0,0,2,40,0.247958
0,0,2,41,0.247375
0,0,2,42,0.247375
0,0,3,0,0.138625
0,0,3,1,0.138000
0,0,3,2,0.138417
0,0,3,3,0.138417
0,0,3,4,0.138042
0,0,3,5,0.137708
0,0,3,6,0.138042
0,0,3,7,0.137708
0,0,3,8,0.138125
0,0,3,9,0.138042
0,0,3,10,0.137583
0,0,3,11,0.138000
0,0,3,12,0.138042
0,0,3,13,0.138208
0,0,3,14,0.138125
0,0,3,15,0.137625
0,0,3,16,0.138375
0,0,3,17,0.138042
0,0,3,18,0.138208
0,0,3,19,0.138208
0,0,3,20,0.138000
0,0,3,21,0.138375
0,0,3,22,0.138250
0,0,3,23,0.138292
0,0,3,24,0.138750
0,0,3,25,0.138250
0,0,3,26,0.137875
0,0,3,27,0.138125
0,0,3,28,0.138833
0,0,3,29,0.138083
0,0,3,30,0.138125
0,0,3,31,0.138375
0,0,3,32,0.137375
0,0,3,33,0.138083
0,0,3,34,0.138083
0,0,3,35,0.138333
0,0,3,36,0.138250
0,0,3,37,0.138125
0,0,3,38,0.139500
0,0,3,39,0.139375
0,0,3,40,0.139500
0,0,3,41,0.139083
0,0,3,42,0.138292
0,0,4,0,0.139083
0,0,4,1,0.139042
0,0,4,2,0.140333
0,0,4,3,0.139000
0,0,4,4,0.138333
0,0,4,5,0.137875
0,0,4,6,0.138500
0,0,4,7,0.138250
0,0,4,8,0.138250
0,0,4,9,0.138125
0,0,4,10,0.137500
0,0,4,11,0.137875
0,0,4,12,0.138250
0,0,4,13,0.137875
0,0,4,14,0.138125
0,0,4,15,0.137917
0,0,4,16,0.138125
0,0,4,17,0.137625
0,0,4,18,0.137625
0,0,4,19,0.137500
0,0,4,20,0.138042
0,0,4,21,0.138333
0,0,4,22,0.139875
0,0,4,23,0.138292
0,0,4,24,0.137542
0,0,4,25,0.137875
0,0,4,26,0.138375
0,0,4,27,0.138500
0,0,4,28,0.138708
0,0,4,29,0.138375
0,0,4,30,0.138000
0,0,4,31,0.138167
0,0,4,32,0.138500
0,0,4,33,0.138000
0,0,4,34,0.138500
0,0,4,35,0.138750
0,0,4,36,0.138500
0,0,4,37,0.138708
0,0,4,38,0.137958
0,0,4,39,0.137875
0,0,4,40,0.138083
0,0,4,41,0.138167
0,0,4,42,0.137833
0,1,2,0,0.248083
0,1,2,1,0.247375
0,1,2,2,0.247542
0,1,2,3,0.247208
0,1,2,4,0.248750
0,1,2,5,0.248292
0,1,2,6,0.248750
0,1,2,7,0.247750
0,1,2,8,0.247625
0,1,2,9,0.248000
0,1,2,10,0.247292
0,1,2,11,0.249458
0,1,2,12,0.248125
0,1,2,13,0.248292
0,1,2,14,0.247750
0,1,2,15,0.248500
0,1,2,16,0.248917
0,1,2,17,0.248583
0,1,2,18,0.248250
0,1,2,19,0.248750
0,1,2,20,0.247875
0,1,2,21,0.247125
0,1,2,22,0.248750
0,1,2,23,0.247125
0,1,2,24,0.248292
0,1,2,25,0.247875
0,1,2,26,0.247875
0,1,2,27,0.248542
0,1,2,28,0.247917
0,1,2,29,0.247708
0,1,2,30,0.247875
0,1,2,31,0.247375
0,1,2,32,0.246833
0,1,2,33,0.246625
0,1,2,34,0.248125
0,1,2,35,0.248375
0,1,2,36,0.248750
0,1,2,37,0.248167
0,1,2,38,0.246875
0,1,2,39,0.248292
0,1,2,40,0.248708
0,1,2,41,0.248667
0,1,2,42,0.247958
0,1,3,0,0.137375
0,1,3,1,0.136750
0,1,3,2,0.137000
0,1,3,3,0.137625
0,1,3,4,0.136458
0,1,3,5,0.136500
0,1,3,6,0.137000
0,1,3,7,0.136750
0,1,3,8,0.136750
0,1,3,9,0.138417
0,1,3,10,0.137458
0,1,3,11,0.136625
0,1,3,12,0.136500
0,1,3,13,0.136417
0,1,3,14,0.136667
0,1,3,15,0.136708
0,1,3,16,0.137208
0,1,3,17,0.137250
0,1,3,18,0.136750
0,1,3,19,0.136750
0,1,3,20,0.136792
0,1,3,21,0.137208
0,1,3,22,0.138042
0,1,3,23,0.136875
0,1,3,24,0.136750
0,1,3,25,0.136792
0,1,3,26,0.136583
0,1,3,27,0.137250
0,1,3,28,0.137250
0,1,3,29,0.139875
0,1,3,30,0.138333
0,1,3,31,0.137125
0,1,3,32,0.137125
0,1,3,33,0.137500
0,1,3,34,0.137458
0,1,3,35,0.141000
0,1,3,36,0.140875
0,1,3,37,0.184333
0,1,3,38,0.143125
0,1,3,39,0.137708
0,1,3,40,0.137458
0,1,3,41,0.138542
0,1,3,42,0.141000
0,1,4,0,0.184333
0,1,4,1,0.142375
0,1,4,2,0.138375
0,1,4,3,0.138875
0,1,4,4,0.137375
0,1,4,5,0.137167
0,1,4,6,0.137417
0,1,4,7,0.136917
0,1,4,8,0.137958
0,1,4,9,0.138500
0,1,4,10,0.137542
0,1,4,11,0.137042
0,1,4,12,0.137208
0,1,4,13,0.136792
0,1,4,14,0.137417
0,1,4,15,0.137500
0,1,4,16,0.136792
0,1,4,17,0.137500
0,1,4,18,0.137500
0,1,4,19,0.137875
0,1,4,20,0.138000
0,1,4,21,0.138083
0,1,4,22,0.138625
0,1,4,23,0.137750
0,1,4,24,0.137208
0,1,4,25,0.136625
0,1,4,26,0.136375
0,1,4,27,0.137208
0,1,4,28,0.137125
0,1,4,29,0.136667
0,1,4,30,0.136875
0,1,4,31,0.137125
0,1,4,32,0.137292
0,1,4,33,0.137292
0,1,4,34,0.136917
0,1,4,35,0.137542
0,1,4,36,0.136500
0,1,4,37,0.136583
0,1,4,38,0.137500
0,1,4,39,0.136875
0,1,4,40,0.136708
0,1,4,41,0.136875
0,1,4,42,0.136417
0,1,0,0,0.248458
0,1,0,1,0.248500
0,1,0,2,0.248000
0,1,0,3,0.247417
0,1,0,4,0.247750
0,1,0,5,0.248125
0,1,0,6,0.248583
0,1,0,7,0.247000
0,1,0,8,0.247750
0,1,0,9,0.248125
0,1,0,10,0.246750
0,1,0,11,0.248125
0,1,0,12,0.247875
0,1,0,13,0.248250
0,1,0,14,0.248083
0,1,0,15,0.248250
0,1,0,16,0.248333
0,1,0,17,0.249375
0,1,0,18,0.248167
0,1,0,19,0.249250
0,1,0,20,0.247375
0,1,0,21,0.248042
0,1,0,22,0.248917
0,1,0,23,0.247292
