stratum,round,order_position,selector,layers,gpu_ms,kernel_ms,wall_ms
0,0,0,0,43,10.658958,1.244917,18.98
0,0,1,2,43,10.657208,1.228083,18.926
0,0,2,3,43,5.944875,1.135375,13.544
0,0,3,4,43,5.946167,1.186916,13.528
0,1,0,2,43,10.665,1.24275,18.73
0,1,1,3,43,5.963958,1.162167,13.366
0,1,2,4,43,5.956625,1.137292,13.885
0,1,3,0,43,10.661792,1.226333,18.952
0,2,0,3,43,5.961417,1.12225,13.476
0,2,1,4,43,5.986208,1.170542,13.618
0,2,2,0,43,10.657209,1.276583,19.053
0,2,3,2,43,10.691791,1.240958,18.779
0,3,0,4,43,6.0485,1.152667,13.736
0,3,1,0,43,10.656375,1.238125,18.901
0,3,2,2,43,10.662833,1.303917,19.052
0,3,3,3,43,5.929583,1.115167,13.292
0,4,0,0,43,10.651708,1.255125,18.952
0,4,1,4,43,5.934542,1.112875,13.46
0,4,2,3,43,6.059417,1.140875,13.343
0,4,3,2,43,10.653833,1.238792,18.983
0,5,0,2,43,10.65375,1.212833,19.001
0,5,1,0,43,10.669917,1.274167,18.922
0,5,2,4,43,5.939417,1.164625,13.695
0,5,3,3,43,6.04475,1.112292,13.59
0,6,0,3,43,6.003417,1.105042,13.289
0,6,1,2,43,10.670292,1.146,18.082
0,6,2,0,43,10.664083,1.210166,18.809
0,6,3,4,43,6.015708,1.079958,13.292
0,7,0,4,43,5.972625,1.169292,13.693
0,7,1,3,43,5.942375,1.166792,13.72
0,7,2,2,43,10.663667,1.265542,19.181
0,7,3,0,43,10.678708,1.219375,18.957
0,8,0,0,43,10.667917,1.221625,18.781
0,8,1,2,43,10.660208,1.206792,18.596
0,8,2,3,43,5.957,1.107125,13.705
0,8,3,4,43,5.912875,1.164291,13.501
0,9,0,2,43,10.682667,1.273875,18.828
0,9,1,3,43,6.081833,1.139958,13.417
0,9,2,4,43,5.990833,1.074125,13.563
0,9,3,0,43,10.677375,0.478833,18.129
0,10,0,3,43,6.02825,0.346083,13.416
0,10,1,4,43,6.008625,0.40675,13.127
