layer,site,format,corpus,m,k,n,input_hash_ds4_64,candidate_dispatches,grid_y,bit_diffs,first_index,first_ref_bits,first_got_bits,max_abs,result
0,1,q8_0,C0,2,4096,1024,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C1,2,4096,1024,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C2,2,4096,1024,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C3,2,4096,1024,13f5aba7faa9796f,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C4,2,4096,1024,4712e9c2b1324d63,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C0,2,4096,256,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C1,2,4096,256,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C2,2,4096,256,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C3,2,4096,256,6875bb1bec415b0f,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C4,2,4096,256,4712e9c2b1324d63,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C0,2,4096,1024,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C1,2,4096,1024,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C2,2,4096,1024,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C3,2,4096,1024,0bd7633bd14daf47,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C4,2,4096,1024,4712e9c2b1324d63,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C0,2,4096,256,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C1,2,4096,256,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C2,2,4096,256,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C3,2,4096,256,791cb1edf73b0e93,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C4,2,4096,256,4712e9c2b1324d63,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C0,2,4096,1024,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C1,2,4096,1024,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C2,2,4096,1024,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C3,2,4096,1024,ca17be255024f08c,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C4,2,4096,1024,4712e9c2b1324d63,1,1,0,-1,00000000,00000000,0,PASS
2,6,f16,C0,2,4096,256,61e628f524230383,1,1,0,-1,00000000,00000000,0,PASS
2,6,f16,C1,2,4096,256,f3458625c6b0adb3,1,1,0,-1,00000000,00000000,0,PASS
2,6,f16,C2,2,4096,256,eaa8b46e71e992b4,1,1,0,-1,00000000,00000000,0,PASS
