layer,site,format,corpus,m,k,n,input_hash_ds4_64,candidate_dispatches,grid_y,bit_diffs,first_index,first_ref_bits,first_got_bits,max_abs,result
0,0,f16,C5,2,16384,24,29f2bd3dc6e6559b,1,1,0,-1,00000000,00000000,0,PASS
0,0,f16,C5,3,16384,24,c2e6d8a86014045b,1,1,0,-1,00000000,00000000,0,PASS
0,0,f16,C5,4,16384,24,4add6ac536275b2b,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C5,2,4096,1024,4db777d3326bd882,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C5,3,4096,1024,b7b540979e604f30,1,1,0,-1,00000000,00000000,0,PASS
0,1,q8_0,C5,4,4096,1024,7a348cc1251cc5c5,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C5,2,4096,512,4db777d3326bd882,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C5,3,4096,512,b7b540979e604f30,1,1,0,-1,00000000,00000000,0,PASS
0,2,q8_0,C5,4,4096,512,7a348cc1251cc5c5,1,1,0,-1,00000000,00000000,0,PASS
0,3,q8_0,C5,2,1024,32768,474a982e5556e34a,1,1,0,-1,00000000,00000000,0,PASS
0,3,q8_0,C5,3,1024,32768,374407fecae0c2da,1,1,0,-1,00000000,00000000,0,PASS
0,3,q8_0,C5,4,1024,32768,6cb7c32c2d2e6189,1,1,0,-1,00000000,00000000,0,PASS
0,4,q8_0,C5,2,8192,4096,2a6c04a7fa8ce548,1,1,0,-1,00000000,00000000,0,PASS
0,4,q8_0,C5,3,8192,4096,0e17952f80e5c9bd,1,1,0,-1,00000000,00000000,0,PASS
0,4,q8_0,C5,4,8192,4096,14925cf6b4f378f2,1,1,0,-1,00000000,00000000,0,PASS
0,5,f16,C5,2,16384,24,55105fa4d24ef693,1,1,0,-1,00000000,00000000,0,PASS
0,5,f16,C5,3,16384,24,9c43207cd84ae956,1,1,0,-1,00000000,00000000,0,PASS
0,5,f16,C5,4,16384,24,f564c373aad91967,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C5,2,4096,256,2ff6ae06a25d6b26,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C5,3,4096,256,4c95bc6e9a4ae5df,1,1,0,-1,00000000,00000000,0,PASS
0,6,f16,C5,4,4096,256,a52d7fa931f00092,1,1,0,-1,00000000,00000000,0,PASS
1,0,f16,C5,2,16384,24,c80f7dffd9e98f56,1,1,0,-1,00000000,00000000,0,PASS
1,0,f16,C5,3,16384,24,86176d0664492f2e,1,1,0,-1,00000000,00000000,0,PASS
1,0,f16,C5,4,16384,24,f926975e53be4e08,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C5,2,4096,1024,b95d300973004b62,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C5,3,4096,1024,374d0e08af72fb4a,1,1,0,-1,00000000,00000000,0,PASS
1,1,q8_0,C5,4,4096,1024,1fd8a5e1170957ed,1,1,0,-1,00000000,00000000,0,PASS
1,2,q8_0,C5,2,4096,512,b95d300973004b62,1,1,0,-1,00000000,00000000,0,PASS
1,2,q8_0,C5,3,4096,512,374d0e08af72fb4a,1,1,0,-1,00000000,00000000,0,PASS
1,2,q8_0,C5,4,4096,512,1fd8a5e1170957ed,1,1,0,-1,00000000,00000000,0,PASS
1,3,q8_0,C5,2,1024,32768,194a3361376342e9,1,1,0,-1,00000000,00000000,0,PASS
1,3,q8_0,C5,3,1024,32768,b8e61a1d3a8157af,1,1,0,-1,00000000,00000000,0,PASS
1,3,q8_0,C5,4,1024,32768,1066c15439fcce3c,1,1,0,-1,00000000,00000000,0,PASS
1,4,q8_0,C5,2,8192,4096,787dd256e13e7e0c,1,1,0,-1,00000000,00000000,0,PASS
1,4,q8_0,C5,3,8192,4096,7c2e7bb19e49c5ab,1,1,0,-1,00000000,00000000,0,PASS
1,4,q8_0,C5,4,8192,4096,9525c40f1fd6057f,1,1,0,-1,00000000,00000000,0,PASS
1,5,f16,C5,2,16384,24,445c41acc8128e70,1,1,0,-1,00000000,00000000,0,PASS
1,5,f16,C5,3,16384,24,83649a7346fa9384,1,1,0,-1,00000000,00000000,0,PASS
1,5,f16,C5,4,16384,24,a3ebd9d5627a7e4f,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C5,2,4096,256,86f7204688c79b9d,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C5,3,4096,256,4138fabc04ab75d7,1,1,0,-1,00000000,00000000,0,PASS
1,6,f16,C5,4,4096,256,9d7ec816cf138c28,1,1,0,-1,00000000,00000000,0,PASS
2,0,f16,C5,2,16384,24,daf2683810d2e53a,1,1,0,-1,00000000,00000000,0,PASS
2,0,f16,C5,3,16384,24,83374303308394c5,1,1,0,-1,00000000,00000000,0,PASS
2,0,f16,C5,4,16384,24,d67ee4e752b73ff5,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C5,2,4096,1024,100d942c3117f4ce,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C5,3,4096,1024,c7e3b87d9d4c16af,1,1,0,-1,00000000,00000000,0,PASS
2,1,q8_0,C5,4,4096,1024,c45814fbf1432cba,1,1,0,-1,00000000,00000000,0,PASS
2,2,q8_0,C5,2,4096,512,100d942c3117f4ce,1,1,0,-1,00000000,00000000,0,PASS
2,2,q8_0,C5,3,4096,512,c7e3b87d9d4c16af,1,1,0,-1,00000000,00000000,0,PASS
2,2,q8_0,C5,4,4096,512,c45814fbf1432cba,1,1,0,-1,00000000,00000000,0,PASS
2,3,q8_0,C5,2,1024,32768,38f46ef36c0123f5,1,1,0,-1,00000000,00000000,0,PASS
2,3,q8_0,C5,3,1024,32768,dbe4f0b38c6fb8e4,1,1,0,-1,00000000,00000000,0,PASS
2,3,q8_0,C5,4,1024,32768,069468a10281d02f,1,1,0,-1,00000000,00000000,0,PASS
2,4,q8_0,C5,2,8192,4096,eee1effac56051bb,1,1,0,-1,00000000,00000000,0,PASS
2,4,q8_0,C5,3,8192,4096,9b7f3910f6f57358,1,1,0,-1,00000000,00000000,0,PASS
2,4,q8_0,C5,4,8192,4096,d0c992278a1c06cb,1,1,0,-1,00000000,00000000,0,PASS
2,5,f16,C5,2,16384,24,cf5b2a5e20ce5224,1,1,0,-1,00000000,00000000,0,PASS
2,5,f16,C5,3,16384,24,9ba4788048e6d297,1,1,0,-1,00000000,00000000,0,PASS
2,5,f16,C5,4,16384,24,f51fa83344782c0e,1,1,0,-1,00000000,00000000,0,PASS
2,6,f16,C5,2,4096,256,cd6ad45e1b4e77dc,1,1,0,-1,00000000,00000000,0,PASS
2,6,f16,C5,3,4096,256,67703f8d2f21ecec,1,1,0,-1,00000000,00000000,0,PASS
2,6,f16,C5,4,4096,256,1941638a4958f6ff,1,1,0,-1,00000000,00000000,0,PASS
3,0,f16,C5,2,16384,24,cdb1a8a6fac563d7,1,1,0,-1,00000000,00000000,0,PASS
3,0,f16,C5,3,16384,24,816d0862aa85b6e4,1,1,0,-1,00000000,00000000,0,PASS
3,0,f16,C5,4,16384,24,4850f4c30e843d9a,1,1,0,-1,00000000,00000000,0,PASS
3,1,q8_0,C5,2,4096,1024,f265ce8a428c5e8f,1,1,0,-1,00000000,00000000,0,PASS
3,1,q8_0,C5,3,4096,1024,365ab0615f8eb0eb,1,1,0,-1,00000000,00000000,0,PASS
3,1,q8_0,C5,4,4096,1024,83d9c000639286a3,1,1,0,-1,00000000,00000000,0,PASS
3,2,q8_0,C5,2,4096,512,f265ce8a428c5e8f,1,1,0,-1,00000000,00000000,0,PASS
3,2,q8_0,C5,3,4096,512,365ab0615f8eb0eb,1,1,0,-1,00000000,00000000,0,PASS
3,2,q8_0,C5,4,4096,512,83d9c000639286a3,1,1,0,-1,00000000,00000000,0,PASS
3,3,q8_0,C5,2,1024,32768,e1d37a5d5b2e9769,1,1,0,-1,00000000,00000000,0,PASS
3,3,q8_0,C5,3,1024,32768,345cac3eabe17b4e,1,1,0,-1,00000000,00000000,0,PASS
3,3,q8_0,C5,4,1024,32768,1903324d205b0229,1,1,0,-1,00000000,00000000,0,PASS
3,4,q8_0,C5,2,8192,4096,b345b4950eef4abe,1,1,0,-1,00000000,00000000,0,PASS
3,4,q8_0,C5,3,8192,4096,deb14c91f145a1c5,1,1,0,-1,00000000,00000000,0,PASS
3,4,q8_0,C5,4,8192,4096,c93de535ffcb5e98,1,1,0,-1,00000000,00000000,0,PASS
3,5,f16,C5,2,16384,24,8b43a81c4bc82694,1,1,0,-1,00000000,00000000,0,PASS
3,5,f16,C5,3,16384,24,7ce68d034952c4db,1,1,0,-1,00000000,00000000,0,PASS
3,5,f16,C5,4,16384,24,c0bb99b070653e1b,1,1,0,-1,00000000,00000000,0,PASS
3,6,f16,C5,2,4096,256,0e9c86b6f0dcceab,1,1,0,-1,00000000,00000000,0,PASS
3,6,f16,C5,3,4096,256,77335fe4dc3383c1,1,1,0,-1,00000000,00000000,0,PASS
3,6,f16,C5,4,4096,256,b45a09d80ef87750,1,1,0,-1,00000000,00000000,0,PASS
4,0,f16,C5,2,16384,24,13bf78f4284dd8dd,1,1,0,-1,00000000,00000000,0,PASS
4,0,f16,C5,3,16384,24,6888b342b9e13541,1,1,0,-1,00000000,00000000,0,PASS
4,0,f16,C5,4,16384,24,5f54e67783a3327d,1,1,0,-1,00000000,00000000,0,PASS
4,1,q8_0,C5,2,4096,1024,cd11e0d21e11f7f7,1,1,0,-1,00000000,00000000,0,PASS
4,1,q8_0,C5,3,4096,1024,de4e805ac125d372,1,1,0,-1,00000000,00000000,0,PASS
4,1,q8_0,C5,4,4096,1024,7221509f2d399985,1,1,0,-1,00000000,00000000,0,PASS
4,2,q8_0,C5,2,4096,512,cd11e0d21e11f7f7,1,1,0,-1,00000000,00000000,0,PASS
4,2,q8_0,C5,3,4096,512,de4e805ac125d372,1,1,0,-1,00000000,00000000,0,PASS
4,2,q8_0,C5,4,4096,512,7221509f2d399985,1,1,0,-1,00000000,00000000,0,PASS
4,3,q8_0,C5,2,1024,32768,6fdfa552eeb75b77,1,1,0,-1,00000000,00000000,0,PASS
4,3,q8_0,C5,3,1024,32768,0ffcf46aa0adfd53,1,1,0,-1,00000000,00000000,0,PASS
4,3,q8_0,C5,4,1024,32768,2de0c0dd45d1157a,1,1,0,-1,00000000,00000000,0,PASS
4,4,q8_0,C5,2,8192,4096,c5a6f65c284b558e,1,1,0,-1,00000000,00000000,0,PASS
4,4,q8_0,C5,3,8192,4096,ff09cb9fc8a15334,1,1,0,-1,00000000,00000000,0,PASS
4,4,q8_0,C5,4,8192,4096,8d701935c1223ccb,1,1,0,-1,00000000,00000000,0,PASS
4,5,f16,C5,2,16384,24,60fb6fc61c5f27ff,1,1,0,-1,00000000,00000000,0,PASS
4,5,f16,C5,3,16384,24,98a1bfd25ba57fe2,1,1,0,-1,00000000,00000000,0,PASS
4,5,f16,C5,4,16384,24,94b821435942d8de,1,1,0,-1,00000000,00000000,0,PASS
4,6,f16,C5,2,4096,256,727c576b7f6f114f,1,1,0,-1,00000000,00000000,0,PASS
4,6,f16,C5,3,4096,256,8eb531b0b4e801aa,1,1,0,-1,00000000,00000000,0,PASS
4,6,f16,C5,4,4096,256,0b1aaebcad2a28de,1,1,0,-1,00000000,00000000,0,PASS
5,0,f16,C5,2,16384,24,5e1dbbd691d84ac5,1,1,0,-1,00000000,00000000,0,PASS
5,0,f16,C5,3,16384,24,72bbb6cb79756512,1,1,0,-1,00000000,00000000,0,PASS
5,0,f16,C5,4,16384,24,cd250712714327f0,1,1,0,-1,00000000,00000000,0,PASS
5,1,q8_0,C5,2,4096,1024,9704af6f8651ecdd,1,1,0,-1,00000000,00000000,0,PASS
5,1,q8_0,C5,3,4096,1024,2520d5a0ce1b8494,1,1,0,-1,00000000,00000000,0,PASS
5,1,q8_0,C5,4,4096,1024,b68ac64593fdffa9,1,1,0,-1,00000000,00000000,0,PASS
5,2,q8_0,C5,2,4096,512,9704af6f8651ecdd,1,1,0,-1,00000000,00000000,0,PASS
5,2,q8_0,C5,3,4096,512,2520d5a0ce1b8494,1,1,0,-1,00000000,00000000,0,PASS
5,2,q8_0,C5,4,4096,512,b68ac64593fdffa9,1,1,0,-1,00000000,00000000,0,PASS
5,3,q8_0,C5,2,1024,32768,1c654dd61ed20491,1,1,0,-1,00000000,00000000,0,PASS
5,3,q8_0,C5,3,1024,32768,3422eac8098786d1,1,1,0,-1,00000000,00000000,0,PASS
5,3,q8_0,C5,4,1024,32768,89c1807537d38c5a,1,1,0,-1,00000000,00000000,0,PASS
5,4,q8_0,C5,2,8192,4096,2c039a357781bb4e,1,1,0,-1,00000000,00000000,0,PASS
5,4,q8_0,C5,3,8192,4096,2f3b3d0ad6148f83,1,1,0,-1,00000000,00000000,0,PASS
5,4,q8_0,C5,4,8192,4096,73930b162f484677,1,1,0,-1,00000000,00000000,0,PASS
5,5,f16,C5,2,16384,24,4fc246ecc38d183d,1,1,0,-1,00000000,00000000,0,PASS
5,5,f16,C5,3,16384,24,0aec761b72d9728f,1,1,0,-1,00000000,00000000,0,PASS
5,5,f16,C5,4,16384,24,fe6f9ef8af5480dd,1,1,0,-1,00000000,00000000,0,PASS
5,6,f16,C5,2,4096,256,1d577e49fdbb0716,1,1,0,-1,00000000,00000000,0,PASS
5,6,f16,C5,3,4096,256,868235dafd31e862,1,1,0,-1,00000000,00000000,0,PASS
5,6,f16,C5,4,4096,256,349ff6bbb6bf38ae,1,1,0,-1,00000000,00000000,0,PASS
6,0,f16,C5,2,16384,24,416ea2ffabd02517,1,1,0,-1,00000000,00000000,0,PASS
6,0,f16,C5,3,16384,24,9ad98bd31b048ab4,1,1,0,-1,00000000,00000000,0,PASS
6,0,f16,C5,4,16384,24,cac35b3e45b95a4f,1,1,0,-1,00000000,00000000,0,PASS
6,1,q8_0,C5,2,4096,1024,ea02a59e053bd727,1,1,0,-1,00000000,00000000,0,PASS
6,1,q8_0,C5,3,4096,1024,992185ba4babf3e6,1,1,0,-1,00000000,00000000,0,PASS
6,1,q8_0,C5,4,4096,1024,98b2350501bec3c6,1,1,0,-1,00000000,00000000,0,PASS
