layer,m,low_words,out_words,low_e_capture_diffs,low_s_capture_diffs,low_c_capture_diffs,ext_out_diffs,sentinel_diffs,candidate_ref_diffs,e_combined,e_low,e_ext_b,s_combined,s_low,s_ext_b,c_combined,c_low,c_ext_b,c_exact_b,result
0,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
1,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
2,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
3,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
4,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
5,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
6,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
7,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
8,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
9,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
10,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
11,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
12,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
13,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
14,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
15,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
16,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
17,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
18,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
19,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
20,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
21,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
22,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
23,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
24,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
25,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
26,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
27,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
28,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
29,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
30,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
31,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
32,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
33,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
34,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
35,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
36,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
37,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
38,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
39,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
40,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
41,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
42,4,32768,16384,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,PASS
