layer,site,format,k,n,weight_offset,weight_bytes,e_api,c_api,c_grid_x,c_threads_x,c_threads_y,common_a_offset,common_a_bytes
0,0,f16,16384,24,79129609376,786432,matmul_f16,exact_smallm,12,32,8,0,0
0,1,q8_0,4096,1024,79060632640,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
0,2,q8_0,4096,512,78987101248,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
0,3,q8_0,1024,32768,79065089088,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
0,4,q8_0,8192,4096,79024981056,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,78989329472,35651584
0,5,f16,16384,24,79130395936,786432,matmul_f16,exact_smallm,12,32,8,0,0
0,6,f16,4096,256,79100757056,2097152,matmul_f16,exact_smallm,128,32,8,0,0
1,0,f16,16384,24,79273696928,786432,matmul_f16,exact_smallm,12,32,8,0,0
1,1,q8_0,4096,1024,79204720192,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
1,2,q8_0,4096,512,79131188800,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
1,3,q8_0,1024,32768,79209176640,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
1,4,q8_0,8192,4096,79169068608,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,79133417024,35651584
1,5,f16,16384,24,79274483488,786432,matmul_f16,exact_smallm,12,32,8,0,0
1,6,f16,4096,256,79244844608,2097152,matmul_f16,exact_smallm,128,32,8,0,0
2,0,f16,16384,24,79456070304,786432,matmul_f16,exact_smallm,12,32,8,0,0
2,1,q8_0,4096,1024,79387093568,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
2,2,q8_0,4096,512,79313562176,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
2,3,q8_0,1024,32768,79391550016,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
2,4,q8_0,8192,4096,79351441984,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,79315790400,35651584
2,5,f16,16384,24,79456856864,786432,matmul_f16,exact_smallm,12,32,8,0,0
2,6,f16,4096,256,79427217984,2097152,matmul_f16,exact_smallm,128,32,8,0,0
3,0,f16,16384,24,79608680608,786432,matmul_f16,exact_smallm,12,32,8,0,0
3,1,q8_0,4096,1024,79539702848,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
3,2,q8_0,4096,512,79466171456,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
3,3,q8_0,1024,32768,79544159296,35651584,matmul_q8_0,exact_smallm,16384,32,4,0,0
3,4,q8_0,8192,4096,79504051264,35651584,combined_low_ext_b,shared_low_exact_b,2048,32,4,79468399680,35651584
3,5,f16,16384,24,79609467168,786432,matmul_f16,exact_smallm,12,32,8,0,0
3,6,f16,4096,256,79579828288,2097152,matmul_f16,exact_smallm,128,32,8,0,0
4,0,f16,16384,24,79791055008,786432,matmul_f16,exact_smallm,12,32,8,0,0
4,1,q8_0,4096,1024,79722077248,4456448,matmul_q8_0,exact_smallm,512,32,4,0,0
4,2,q8_0,4096,512,79648545856,2228224,matmul_q8_0,exact_smallm,256,32,4,0,0
