phase,block,schedule,slot,arm,occurrence,dispatches,status,completed,gpu_start_s,gpu_end_s,gpu_ms,kernel_ms,encode_ms,commit_wait_ms,wall_ms,result
prime,-2,EC,0,E,1,344,4,1,427078.338677875,427078.367503750,28.825875,1.149583,0.579000,30.547000,31.126000,PASS
prime,-1,EC,1,C,1,344,4,1,427078.368846250,427078.384619750,15.773500,0.698042,0.395000,16.679000,17.074000,PASS
warmup,0,ECCE,0,E,1,344,4,1,427078.388263500,427078.408174500,19.911000,0.073167,0.308000,20.452000,20.760000,PASS
warmup,0,ECCE,1,C,1,344,4,1,427078.408766250,427078.424552875,15.786625,0.107750,0.299000,16.082000,16.381000,PASS
warmup,0,ECCE,2,C,2,344,4,1,427078.425253292,427078.441221917,15.968625,0.172708,0.323000,16.350000,16.673000,PASS
warmup,0,ECCE,3,E,2,344,4,1,427078.441953375,427078.461122792,19.169417,0.121875,0.377000,19.497000,19.874000,PASS
warmup,1,CEEC,0,C,1,344,4,1,427078.461791875,427078.477743375,15.951500,0.114250,0.337000,16.255000,16.592000,PASS
warmup,1,CEEC,1,E,1,344,4,1,427078.478493750,427078.497597417,19.103667,0.118875,0.425000,19.423000,19.848000,PASS
warmup,1,CEEC,2,E,2,344,4,1,427078.498403875,427078.517806625,19.402750,0.173375,0.425000,19.773000,20.198000,PASS
warmup,1,CEEC,3,C,2,344,4,1,427078.518406417,427078.534111125,15.704708,0.105750,0.274000,15.995000,16.269000,PASS
warmup,2,ECCE,0,E,1,344,4,1,427078.534709042,427078.554073000,19.363958,0.111250,0.302000,19.645000,19.947000,PASS
warmup,2,ECCE,1,C,1,344,4,1,427078.554682042,427078.570401750,15.719708,0.120125,0.291000,16.032000,16.323000,PASS
warmup,2,ECCE,2,C,2,344,4,1,427078.571009375,427078.586926542,15.917167,0.141708,0.268000,16.240000,16.508000,PASS
warmup,2,ECCE,3,E,2,344,4,1,427078.587505667,427078.606752875,19.247208,0.099042,0.284000,19.496000,19.780000,PASS
warmup,3,CEEC,0,C,1,344,4,1,427078.607216875,427078.623152375,15.935500,0.099000,0.213000,16.211000,16.424000,PASS
warmup,3,CEEC,1,E,1,344,4,1,427078.623739375,427078.642879875,19.140500,0.101083,0.286000,19.480000,19.766000,PASS
warmup,3,CEEC,2,E,2,344,4,1,427078.643540875,427078.662887167,19.346292,0.140458,0.264000,19.672000,19.936000,PASS
warmup,3,CEEC,3,C,2,344,4,1,427078.663452292,427078.679147875,15.695583,0.102750,0.261000,16.003000,16.264000,PASS
measure,0,ECCE,0,E,1,344,4,1,427078.750519250,427078.770009667,19.490417,0.078625,0.280000,20.553000,20.833000,PASS
measure,0,ECCE,1,C,1,344,4,1,427078.770630167,427078.786590000,15.959833,0.107792,0.277000,16.255000,16.532000,PASS
measure,0,ECCE,2,C,2,344,4,1,427078.787184542,427078.802970875,15.786333,0.125125,0.253000,16.130000,16.383000,PASS
measure,0,ECCE,3,E,2,344,4,1,427078.803556875,427078.823074250,19.517375,0.069750,0.267000,19.775000,20.042000,PASS
measure,1,CEEC,0,C,1,344,4,1,427078.823649375,427078.839410250,15.760875,0.105750,0.259000,16.065000,16.324000,PASS
measure,1,CEEC,1,E,1,344,4,1,427078.840012625,427078.859477500,19.464875,0.109583,0.281000,19.743000,20.024000,PASS
measure,1,CEEC,2,E,2,344,4,1,427078.860100625,427078.879320917,19.220292,0.147125,0.277000,19.533000,19.810000,PASS
measure,1,CEEC,3,C,2,344,4,1,427078.879857875,427078.895686792,15.828917,0.099750,0.251000,16.107000,16.358000,PASS
measure,2,ECCE,0,E,1,344,4,1,427078.896259000,427078.915620875,19.361875,0.104875,0.275000,19.626000,19.901000,PASS
measure,2,ECCE,1,C,1,344,4,1,427078.916137500,427078.931862000,15.724500,0.099125,0.245000,15.996000,16.241000,PASS
measure,2,ECCE,2,C,2,344,4,1,427078.932459375,427078.948282292,15.822917,0.138500,0.238000,16.143000,16.381000,PASS
measure,2,ECCE,3,E,2,344,4,1,427078.948884167,427078.968185750,19.301583,0.102500,0.281000,19.626000,19.907000,PASS
measure,3,CEEC,0,C,1,344,4,1,427078.968789292,427078.984621292,15.832000,0.119292,0.283000,16.116000,16.399000,PASS
measure,3,CEEC,1,E,1,344,4,1,427078.985124042,427079.004303750,19.179708,0.107000,0.282000,19.391000,19.673000,PASS
measure,3,CEEC,2,E,2,344,4,1,427079.004921042,427079.024338292,19.417250,0.149875,0.298000,19.752000,20.050000,PASS
measure,3,CEEC,3,C,2,344,4,1,427079.024919125,427079.040665167,15.746042,0.099458,0.287000,16.043000,16.330000,PASS
measure,4,ECCE,0,E,1,344,4,1,427079.041266125,427079.060740375,19.474250,0.094083,0.300000,19.739000,20.039000,PASS
measure,4,ECCE,1,C,1,344,4,1,427079.061314750,427079.077054042,15.739292,0.101792,0.264000,16.031000,16.295000,PASS
measure,4,ECCE,2,C,2,344,4,1,427079.077665167,427079.093603750,15.938583,0.141917,0.272000,16.255000,16.527000,PASS
measure,4,ECCE,3,E,2,344,4,1,427079.094185125,427079.113348792,19.163667,0.096875,0.301000,19.438000,19.739000,PASS
measure,5,CEEC,0,C,1,344,4,1,427079.113917625,427079.129883375,15.965750,0.099625,0.271000,16.252000,16.523000,PASS
measure,5,CEEC,1,E,1,344,4,1,427079.130474292,427079.149629167,19.154875,0.101625,0.301000,19.439000,19.740000,PASS
measure,5,CEEC,2,E,2,344,4,1,427079.150262542,427079.169706167,19.443625,0.137250,0.301000,19.762000,20.063000,PASS
measure,5,CEEC,3,C,2,344,4,1,427079.170261125,427079.186004500,15.743375,0.098042,0.272000,16.017000,16.289000,PASS
measure,6,ECCE,0,E,1,344,4,1,427079.186630125,427079.206054292,19.424167,0.102542,0.301000,19.735000,20.036000,PASS
measure,6,ECCE,1,C,1,344,4,1,427079.206613167,427079.222350500,15.737333,0.098375,0.269000,16.016000,16.285000,PASS
measure,6,ECCE,2,C,2,344,4,1,427079.222960375,427079.238941125,15.980750,0.138500,0.269000,16.294000,16.563000,PASS
measure,6,ECCE,3,E,2,344,4,1,427079.239524000,427079.258693917,19.169917,0.100500,0.299000,19.449000,19.748000,PASS
measure,7,CEEC,0,C,1,344,4,1,427079.259242125,427079.275170375,15.928250,0.086042,0.271000,16.199000,16.470000,PASS
measure,7,CEEC,1,E,1,344,4,1,427079.275763375,427079.294894875,19.131500,0.099417,0.295000,19.390000,19.685000,PASS
measure,7,CEEC,2,E,2,344,4,1,427079.295441250,427079.314771417,19.330167,0.139417,0.251000,19.646000,19.897000,PASS
measure,7,CEEC,3,C,2,344,4,1,427079.315325542,427079.331099875,15.774333,0.097750,0.264000,16.058000,16.322000,PASS
measure,8,ECCE,0,E,1,344,4,1,427079.331686042,427079.351127125,19.441083,0.100375,0.275000,19.734000,20.009000,PASS
measure,8,ECCE,1,C,1,344,4,1,427079.351677000,427079.367478500,15.801500,0.091875,0.266000,16.076000,16.342000,PASS
measure,8,ECCE,2,C,2,344,4,1,427079.368063750,427079.383918375,15.854625,0.125792,0.268000,16.155000,16.423000,PASS
measure,8,ECCE,3,E,2,344,4,1,427079.384507000,427079.403767542,19.260542,0.102750,0.295000,19.529000,19.824000,PASS
measure,9,CEEC,0,C,1,344,4,1,427079.404339125,427079.420157167,15.818042,0.100750,0.263000,16.126000,16.389000,PASS
measure,9,CEEC,1,E,1,344,4,1,427079.420753000,427079.440138542,19.385542,0.100792,0.302000,19.662000,19.964000,PASS
measure,9,CEEC,2,E,2,344,4,1,427079.440757125,427079.459903000,19.145875,0.136167,0.297000,19.472000,19.769000,PASS
measure,9,CEEC,3,C,2,344,4,1,427079.460462250,427079.476443625,15.981375,0.099833,0.264000,16.273000,16.537000,PASS
measure,10,ECCE,0,E,1,344,4,1,427079.477037875,427079.496210500,19.172625,0.084000,0.305000,19.446000,19.751000,PASS
measure,10,ECCE,1,C,1,344,4,1,427079.496787250,427079.512735875,15.948625,0.099125,0.267000,16.235000,16.502000,PASS
measure,10,ECCE,2,C,2,344,4,1,427079.513329750,427079.529054292,15.724542,0.136542,0.267000,16.042000,16.309000,PASS
measure,10,ECCE,3,E,2,344,4,1,427079.529655875,427079.549093125,19.437250,0.104500,0.300000,19.724000,20.024000,PASS
measure,11,CEEC,0,C,1,344,4,1,427079.549656417,427079.565391625,15.735208,0.101833,0.267000,16.002000,16.269000,PASS
measure,11,CEEC,1,E,1,344,4,1,427079.565911917,427079.585292750,19.380833,0.102875,0.247000,19.637000,19.884000,PASS
measure,11,CEEC,2,E,2,344,4,1,427079.585854125,427079.605058250,19.204125,0.137000,0.265000,19.531000,19.796000,PASS
measure,11,CEEC,3,C,2,344,4,1,427079.605641542,427079.621617292,15.975750,0.087833,0.268000,16.276000,16.544000,PASS
measure,12,ECCE,0,E,1,344,4,1,427079.622208042,427079.641353125,19.145083,0.099500,0.297000,19.433000,19.730000,PASS
measure,12,ECCE,1,C,1,344,4,1,427079.641912500,427079.657872500,15.960000,0.100833,0.268000,16.232000,16.500000,PASS
measure,12,ECCE,2,C,2,344,4,1,427079.658465250,427079.674202125,15.736875,0.137458,0.269000,16.056000,16.325000,PASS
measure,12,ECCE,3,E,2,344,4,1,427079.674787542,427079.694182250,19.394708,0.089458,0.301000,19.657000,19.958000,PASS
measure,13,CEEC,0,C,1,344,4,1,427079.694736000,427079.710465167,15.729167,0.098500,0.262000,16.008000,16.270000,PASS
measure,13,CEEC,1,E,1,344,4,1,427079.711059250,427079.730477500,19.418250,0.097833,0.298000,19.696000,19.994000,PASS
measure,13,CEEC,2,E,2,344,4,1,427079.731106625,427079.750278000,19.171375,0.137000,0.300000,19.492000,19.792000,PASS
measure,13,CEEC,3,C,2,344,4,1,427079.750811625,427079.766674250,15.862625,0.093042,0.265000,16.092000,16.357000,PASS
measure,14,ECCE,0,E,1,344,4,1,427079.767179625,427079.786483792,19.304167,0.101083,0.249000,19.570000,19.819000,PASS
measure,14,ECCE,1,C,1,344,4,1,427079.787028042,427079.802875042,15.847000,0.099917,0.268000,16.120000,16.388000,PASS
measure,14,ECCE,2,C,2,344,4,1,427079.803462250,427079.819203917,15.741667,0.136667,0.269000,16.103000,16.372000,PASS
measure,14,ECCE,3,E,2,344,4,1,427079.819812250,427079.839149750,19.337500,0.099500,0.275000,19.616000,19.891000,PASS
