prompt_label,impl,K,returncode,wall_s,prefill_tps,gen_tps,n_cycles,mean_drafted,mean_committed,mean_draft_ms,mean_verify_ms,median_verify_ms,mean_total_ms,spec_miss_first
code_8k,baseline,baseline,0,14.73,375.08,36.34,0,None,None,None,None,None,None,0
code_8k,shipped,2,0,15.58,375.1,34.72,48,1.98,1.44,1.997,37.833,31.788,39.899,11
code_8k,anchor_reuse_exact,2,0,15.92,375.29,32.15,68,2.94,1.87,5.799,51.902,53.035,57.764,0
code_8k,shipped,3,0,17.3,370.05,24.75,39,2.95,1.95,3.923,59.248,59.854,92.711,13
code_8k,anchor_reuse_exact,3,0,16.16,373.54,31.49,60,3.9,2.12,7.734,59.061,54.758,66.859,0
code_8k,shipped,4,0,17.85,374.67,22.04,36,4,2.08,6.212,66.989,66.418,116.079,16
code_8k,anchor_reuse_exact,4,0,16.18,375.11,30.81,59,4.85,2.15,9.597,59.853,54.61,69.513,0
code_8k,shipped,5,0,18.75,361.95,20.07,36,5,2.03,7.946,74.489,74.188,131.586,18
code_8k,anchor_reuse_exact,5,0,16.19,374.79,30.02,60,5.78,2.12,11.397,58.751,54.516,70.208,0
code_8k,shipped,6,0,18.57,373.88,19.32,36,5.97,2.03,9.925,79.299,79.668,138.368,18
code_8k,anchor_reuse_exact,6,0,16.09,373.99,29.25,60,6.7,2.12,13.248,58.751,54.558,72.06,0
synthesis_8k,baseline,baseline,0,14.57,372.29,37.46,0,None,None,None,None,None,None,0
synthesis_8k,shipped,2,0,15.33,373.28,35.4,45,2,1.53,2.043,39.995,49.507,42.115,13
synthesis_8k,anchor_reuse_exact,2,0,15.3,374.48,33.44,62,2.95,2.05,5.826,54.99,54.239,60.877,0
synthesis_8k,shipped,3,0,16.12,374.52,27.46,37,3,2.16,4.009,59.004,59.328,88.065,10
synthesis_8k,anchor_reuse_exact,3,0,15.08,374.13,32.48,61,3.93,2.08,7.77,55.903,53.18,63.734,0
synthesis_8k,shipped,4,0,17.23,373.99,23.19,37,3.89,2.16,5.795,65.029,65.554,111.287,11
synthesis_8k,anchor_reuse_exact,4,0,16.07,363.1,31.69,59,4.9,2.15,9.689,57.802,54.273,67.551,0
synthesis_8k,shipped,5,0,17.47,374.14,21.38,36,4.86,2.31,7.696,73.368,74.132,129.794,9
synthesis_8k,anchor_reuse_exact,5,0,15.87,374.38,30.6,62,5.87,2.05,11.532,54.998,53.276,66.59,0
synthesis_8k,shipped,6,0,18.01,374.21,20.29,36,5.81,2.28,9.54,77.92,79.607,137.987,10
synthesis_8k,anchor_reuse_exact,6,0,15.79,374.05,29.73,62,6.82,2.05,13.438,55.06,53.309,68.558,0
grounded_8k,baseline,baseline,0,15.26,375.9,33.65,0,None,None,None,None,None,None,0
grounded_8k,shipped,2,0,16.12,365.27,33.95,44,1.98,1.64,2.011,42.725,49.377,44.807,12
grounded_8k,anchor_reuse_exact,2,0,16.04,375.87,30.27,63,2.94,2.02,5.793,60.435,62.204,66.288,0
grounded_8k,shipped,3,0,16.51,375.87,28.61,35,3,2.34,4.011,59.44,59.567,85.716,10
grounded_8k,anchor_reuse_exact,3,0,16.57,367.3,29.9,55,3.95,2.31,7.83,69.009,63.463,76.899,0
grounded_8k,shipped,4,0,17.34,375.63,24.19,34,3.97,2.56,5.912,65.979,65.626,116.684,6
grounded_8k,anchor_reuse_exact,4,0,16.72,367.87,28.85,60,4.92,2.12,9.713,63.3,62.737,73.073,0
grounded_8k,shipped,5,0,17.73,375.58,22.48,33,4.94,2.64,7.866,74.041,74.21,132.665,7
grounded_8k,anchor_reuse_exact,5,0,16.87,366.86,28.11,60,5.88,2.12,11.602,63.343,62.855,75.006,0
grounded_8k,shipped,6,0,18.12,375.79,20.26,35,5.91,2.46,9.764,78.625,78.761,141.902,6
grounded_8k,anchor_reuse_exact,6,0,16.73,375.3,27.45,60,6.85,2.12,13.5,63.292,62.713,76.853,0
