kind,prompt_file,family,length_class,temperature,ctx,n,status,prefill_tps,generation_tps,wall_seconds,stdout_bytes,log,out
plain,issue468/prompts/baseline_corpus/code_16k.txt,code,16k,0.0,32768,640,ok,375.22,30.66,50.13,2775,issue468/artifacts/plain_baseline_matrix/logs/plain__code__16k__t0p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__16k__t0p0.out
plain,issue468/prompts/baseline_corpus/code_16k.txt,code,16k,0.5,32768,640,ok,363.41,30.87,43.109,2794,issue468/artifacts/plain_baseline_matrix/logs/plain__code__16k__t0p5.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__16k__t0p5.out
plain,issue468/prompts/baseline_corpus/code_16k.txt,code,16k,1.0,32768,640,ok,372.46,30.86,42.399,2924,issue468/artifacts/plain_baseline_matrix/logs/plain__code__16k__t1p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__16k__t1p0.out
plain,issue468/prompts/baseline_corpus/code_4k.txt,code,4k,0.0,32768,640,ok,359.84,36.49,23.5,2511,issue468/artifacts/plain_baseline_matrix/logs/plain__code__4k__t0p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__4k__t0p0.out
plain,issue468/prompts/baseline_corpus/code_4k.txt,code,4k,0.5,32768,640,ok,346.42,36.12,23.916,2638,issue468/artifacts/plain_baseline_matrix/logs/plain__code__4k__t0p5.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__4k__t0p5.out
plain,issue468/prompts/baseline_corpus/code_4k.txt,code,4k,1.0,32768,640,ok,349.84,36.5,23.658,2804,issue468/artifacts/plain_baseline_matrix/logs/plain__code__4k__t1p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__4k__t1p0.out
plain,issue468/prompts/baseline_corpus/code_8k.txt,code,8k,0.0,32768,640,ok,356.35,32.35,31.664,2742,issue468/artifacts/plain_baseline_matrix/logs/plain__code__8k__t0p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__8k__t0p0.out
plain,issue468/prompts/baseline_corpus/code_8k.txt,code,8k,0.5,32768,640,ok,372.47,31.83,31.496,2609,issue468/artifacts/plain_baseline_matrix/logs/plain__code__8k__t0p5.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__8k__t0p5.out
plain,issue468/prompts/baseline_corpus/code_8k.txt,code,8k,1.0,32768,640,ok,373.44,31.94,31.373,2762,issue468/artifacts/plain_baseline_matrix/logs/plain__code__8k__t1p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__code__8k__t1p0.out
plain,issue468/prompts/baseline_corpus/grounded_16k.txt,grounded,16k,0.0,32768,640,ok,372.3,31.44,42.73,2751,issue468/artifacts/plain_baseline_matrix/logs/plain__grounded__16k__t0p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__grounded__16k__t0p0.out
plain,issue468/prompts/baseline_corpus/grounded_16k.txt,grounded,16k,0.5,32768,640,ok,367.26,30.05,43.992,2943,issue468/artifacts/plain_baseline_matrix/logs/plain__grounded__16k__t0p5.log,issue468/artifacts/plain_baseline_matrix/logs/plain__grounded__16k__t0p5.out
plain,issue468/prompts/baseline_corpus/grounded_16k.txt,grounded,16k,1.0,32768,640,ok,373.85,30.94,42.978,2694,issue468/artifacts/plain_baseline_matrix/logs/plain__grounded__16k__t1p0.log,issue468/artifacts/plain_baseline_matrix/logs/plain__grounded__16k__t1p0.out
