prompt,step,pos,p,anchor,prev_tok,drafter_argmax,target_tok,match,rank_target_in_drafter,drafter_top1_top2_gap,rank_drafter_in_q2,q2_top1_top2_gap
code_histogram,1,71,1,1309,1309,304,304,1,0,9.6355,0,14.9925
code_histogram,1,71,2,1309,304,1258,4678,0,2,0.2045,1,0.124
code_histogram,1,71,3,1309,1258,260,260,1,0,1.9201,0,0.5065
code_histogram,1,71,4,1309,260,2019,2019,1,0,1.5257,0,5.5568
code_histogram,1,71,5,1309,2019,3608,3608,1,0,3.4705,0,0.5711
code_histogram,2,72,1,304,304,1258,4678,0,2,0.5243,1,0.124
code_histogram,2,72,2,304,1258,260,260,1,0,2.4798,0,0.5065
code_histogram,2,72,3,304,260,2019,2019,1,0,4.0892,0,5.5568
code_histogram,2,72,4,304,2019,3608,3608,1,0,2.7087,0,0.5711
code_histogram,2,72,5,304,3608,29295,29295,1,0,3.0785,0,13.766
code_histogram,3,73,1,4678,4678,9181,260,0,3,1.1597,129,0.5065
code_histogram,3,73,2,4678,9181,4966,2019,0,549,9.1768,129,5.5568
code_histogram,3,73,3,4678,4966,65,3608,0,4,4.5287,129,0.5711
code_histogram,3,73,4,4678,65,13930,29295,0,2,6.515,1,13.766
code_histogram,3,73,5,4678,13930,14614,65,0,3,6.8554,129,16.5179
code_histogram,4,74,1,260,260,2019,2019,1,0,4.8408,0,5.5568
code_histogram,4,74,2,260,2019,3608,3608,1,0,1.3309,0,0.5711
code_histogram,4,74,3,260,3608,29295,29295,1,0,3.2736,0,13.766
code_histogram,4,74,4,260,29295,65,65,1,0,6.2802,0,16.5179
code_histogram,4,74,5,260,65,13930,13930,1,0,5.5123,0,15.4301
code_histogram,5,75,1,2019,2019,3608,3608,1,0,1.3075,0,0.5711
code_histogram,5,75,2,2019,3608,29295,29295,1,0,3.2079,0,13.766
code_histogram,5,75,3,2019,29295,65,65,1,0,8.1748,0,16.5179
code_histogram,5,75,4,2019,65,13930,13930,1,0,5.2815,0,15.4301
code_histogram,5,75,5,2019,13930,14614,14614,1,0,10.1837,0,14.3008
code_histogram,6,76,1,3608,3608,29295,29295,1,0,8.5471,0,13.766
code_histogram,6,76,2,3608,29295,65,65,1,0,11.3105,0,16.5179
code_histogram,6,76,3,3608,65,13930,13930,1,0,10.4532,0,15.4301
code_histogram,6,76,4,3608,13930,14614,14614,1,0,2.0994,0,14.3008
code_histogram,6,76,5,3608,14614,44366,88287,0,1,1.2537,18,4.6131
code_histogram,7,77,1,29295,29295,65,65,1,0,12.1534,0,16.5179
code_histogram,7,77,2,29295,65,13930,13930,1,0,7.6018,0,15.4301
code_histogram,7,77,3,29295,13930,14614,14614,1,0,6.1132,0,14.3008
code_histogram,7,77,4,29295,14614,88287,88287,1,0,5.6465,0,4.6131
code_histogram,7,77,5,29295,88287,90812,90812,1,0,6.5161,0,10.9912
code_histogram,8,78,1,65,65,13930,13930,1,0,15.3719,0,15.4301
