ds4: Metal device Apple M5 Max, 128.00 GiB RAM
ds4: Metal 4 tensor API enabled for Tensor kernels
ds4: drift-patch flags hc_stable=on norm_unify=on kv_raw_f32=off rope_exp2_log2=off math_safe=off tensor_matmul=on
ds4: Metal model views created in 1.717 ms, residency requested in 1095.481 ms, warmup 3.239 ms (mapped 82697.67 MiB from offset 5.09 MiB)
ds4: Metal mapped mmaped model as 2 overlapping shared buffers
ds4: metal backend initialized for graph diagnostics
ds4: context buffers 410.29 MiB (ctx=4096, backend=metal, prefill_chunk=4096, raw_kv_rows=4096, compressed_kv_rows=1026)
ds4: using GPU graph generation with graph prefill
ds4: gpu prefill layer 1/43ds4: gpu prefill layer 2/43ds4: gpu prefill layer 3/43ds4: gpu prefill layer 4/43ds4: gpu prefill layer 5/43ds4: gpu prefill layer 6/43ds4: gpu prefill layer 7/43ds4: gpu prefill layer 8/43ds4: gpu prefill layer 9/43ds4: gpu prefill layer 10/43ds4: gpu prefill layer 11/43ds4: gpu prefill layer 12/43ds4: gpu prefill layer 13/43ds4: gpu prefill layer 14/43ds4: gpu prefill layer 15/43ds4: gpu prefill layer 16/43ds4: gpu prefill layer 17/43ds4: gpu prefill layer 18/43ds4: gpu prefill layer 19/43ds4: gpu prefill layer 20/43ds4: gpu prefill layer 21/43ds4: gpu prefill layer 22/43ds4: gpu prefill layer 23/43ds4: gpu prefill layer 24/43ds4: gpu prefill layer 25/43ds4: gpu prefill layer 26/43ds4: gpu prefill layer 27/43ds4: gpu prefill layer 28/43ds4: gpu prefill layer 29/43ds4: gpu prefill layer 30/43ds4: gpu prefill layer 31/43ds4: gpu prefill layer 32/43ds4: gpu prefill layer 33/43ds4: gpu prefill layer 34/43ds4: gpu prefill layer 35/43ds4: gpu prefill layer 36/43ds4: gpu prefill layer 37/43ds4: gpu prefill layer 38/43ds4: gpu prefill layer 39/43ds4: gpu prefill layer 40/43ds4: gpu prefill layer 41/43ds4: gpu prefill layer 42/43ds4: gpu prefill layer 43/43
ds4: dumped dspark_main_hc layer 40 pos 152 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos152.bin
ds4: dumped dspark_main_hc layer 41 pos 152 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos152.bin
ds4: dumped dspark_main_hc layer 42 pos 152 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos152.bin
ds4: dumped dspark_main_hc layer 40 pos 153 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos153.bin
ds4: dumped dspark_main_hc layer 41 pos 153 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos153.bin
ds4: dumped dspark_main_hc layer 42 pos 153 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos153.bin
ds4: dumped dspark_main_hc layer 40 pos 154 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos154.bin
ds4: dumped dspark_main_hc layer 41 pos 154 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos154.bin
ds4: dumped dspark_main_hc layer 42 pos 154 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos154.bin
ds4: dumped dspark_main_hc layer 40 pos 155 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos155.bin
ds4: dumped dspark_main_hc layer 41 pos 155 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos155.bin
ds4: dumped dspark_main_hc layer 42 pos 155 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos155.bin
ds4: dumped dspark_main_hc layer 40 pos 156 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos156.bin
ds4: dumped dspark_main_hc layer 41 pos 156 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos156.bin
ds4: dumped dspark_main_hc layer 42 pos 156 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos156.bin
ds4: dumped dspark_main_hc layer 40 pos 157 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos157.bin
ds4: dumped dspark_main_hc layer 41 pos 157 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos157.bin
ds4: dumped dspark_main_hc layer 42 pos 157 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos157.bin
ds4: dumped dspark_main_hc layer 40 pos 158 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos158.bin
ds4: dumped dspark_main_hc layer 41 pos 158 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos158.bin
ds4: dumped dspark_main_hc layer 42 pos 158 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos158.bin
ds4: dumped dspark_main_hc layer 40 pos 159 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos159.bin
ds4: dumped dspark_main_hc layer 41 pos 159 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos159.bin
ds4: dumped dspark_main_hc layer 42 pos 159 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos159.bin
ds4: dumped dspark_main_hc layer 40 pos 160 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos160.bin
ds4: dumped dspark_main_hc layer 41 pos 160 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos160.bin
ds4: dumped dspark_main_hc layer 42 pos 160 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos160.bin
ds4: dumped dspark_main_hc layer 40 pos 161 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos161.bin
ds4: dumped dspark_main_hc layer 41 pos 161 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos161.bin
ds4: dumped dspark_main_hc layer 42 pos 161 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos161.bin
ds4: dumped dspark_main_hc layer 40 pos 162 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos162.bin
ds4: dumped dspark_main_hc layer 41 pos 162 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos162.bin
ds4: dumped dspark_main_hc layer 42 pos 162 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos162.bin
ds4: dumped dspark_main_hc layer 40 pos 163 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos163.bin
ds4: dumped dspark_main_hc layer 41 pos 163 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos163.bin
ds4: dumped dspark_main_hc layer 42 pos 163 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos163.bin
ds4: dumped dspark_main_hc layer 40 pos 164 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos164.bin
ds4: dumped dspark_main_hc layer 41 pos 164 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos164.bin
ds4: dumped dspark_main_hc layer 42 pos 164 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos164.bin
ds4: dumped dspark_main_hc layer 40 pos 165 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos165.bin
ds4: dumped dspark_main_hc layer 41 pos 165 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos165.bin
ds4: dumped dspark_main_hc layer 42 pos 165 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos165.bin
ds4: dumped dspark_main_hc layer 40 pos 166 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos166.bin
ds4: dumped dspark_main_hc layer 41 pos 166 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos166.bin
ds4: dumped dspark_main_hc layer 42 pos 166 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos166.bin
ds4: dumped dspark_main_hc layer 40 pos 167 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos167.bin
ds4: dumped dspark_main_hc layer 41 pos 167 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos167.bin
ds4: dumped dspark_main_hc layer 42 pos 167 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos167.bin
ds4: dumped dspark_main_hc layer 40 pos 168 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos168.bin
ds4: dumped dspark_main_hc layer 41 pos 168 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos168.bin
ds4: dumped dspark_main_hc layer 42 pos 168 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos168.bin
ds4: dumped dspark_main_hc layer 40 pos 169 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos169.bin
ds4: dumped dspark_main_hc layer 41 pos 169 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos169.bin
ds4: dumped dspark_main_hc layer 42 pos 169 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos169.bin
ds4: dumped dspark_main_hc layer 40 pos 170 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos170.bin
ds4: dumped dspark_main_hc layer 41 pos 170 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos170.bin
ds4: dumped dspark_main_hc layer 42 pos 170 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos170.bin
ds4: dumped dspark_main_hc layer 40 pos 171 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos171.bin
ds4: dumped dspark_main_hc layer 41 pos 171 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos171.bin
ds4: dumped dspark_main_hc layer 42 pos 171 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos171.bin
ds4: dumped dspark_main_hc layer 40 pos 172 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos172.bin
ds4: dumped dspark_main_hc layer 41 pos 172 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos172.bin
ds4: dumped dspark_main_hc layer 42 pos 172 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos172.bin
ds4: dumped dspark_main_hc layer 40 pos 173 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos173.bin
ds4: dumped dspark_main_hc layer 41 pos 173 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos173.bin
ds4: dumped dspark_main_hc layer 42 pos 173 to issue468/baseline/dspark_capture/hc_dspark_main_hc-42_pos173.bin
ds4: dumped dspark_main_hc layer 40 pos 174 to issue468/baseline/dspark_capture/hc_dspark_main_hc-40_pos174.bin
ds4: dumped dspark_main_hc layer 41 pos 174 to issue468/baseline/dspark_capture/hc_dspark_main_hc-41_pos174.bin
