kernel,L,ctx,n,min_ms,p10_ms,p25_ms,median_ms,p75_ms,p90_ms,p99_ms,max_ms
batch,1,2048,20,30.847,30.899,30.935,31.014,31.129,31.212,31.371,31.371
sequential_exact,1,2048,20,25.541,25.560,25.610,25.687,25.856,25.965,26.377,26.377
batch,2,2048,20,41.238,41.329,41.598,41.760,41.775,41.922,42.115,42.115
exact_fused_n2,2,2048,20,55.740,55.765,55.959,56.074,56.140,56.288,56.562,56.562
sequential_exact,2,2048,20,51.142,51.267,51.497,51.588,51.731,51.858,52.717,52.717
batch,3,2048,20,50.005,50.111,50.524,50.837,51.004,51.105,51.718,51.718
sequential_exact,3,2048,20,76.804,76.894,77.098,77.522,77.560,77.985,78.601,78.601
batch,4,2048,20,69.026,69.226,69.573,69.680,69.915,69.953,70.258,70.258
sequential_exact,4,2048,20,104.209,104.294,104.459,104.621,104.882,105.129,106.503,106.503
batch,5,2048,20,74.967,75.493,75.647,75.803,75.828,75.952,76.040,76.040
sequential_exact,5,2048,20,129.906,130.111,130.286,130.652,131.064,131.562,132.084,132.084
batch,6,2048,20,79.612,79.656,79.878,79.995,80.244,80.545,80.686,80.686
sequential_exact,6,2048,20,156.056,156.358,157.170,157.466,157.912,158.626,160.073,160.073
batch,7,2048,20,87.704,88.135,88.199,88.300,88.709,88.866,93.143,93.143
sequential_exact,7,2048,20,182.424,182.990,183.136,183.540,183.892,184.218,185.115,185.115
batch,8,2048,20,96.023,96.682,96.891,97.153,97.678,98.162,98.429,98.429
sequential_exact,8,2048,20,210.079,210.524,210.776,211.744,212.329,217.973,218.600,218.600
batch,1,4096,20,36.015,36.026,36.120,36.283,36.460,36.699,37.150,37.150
sequential_exact,1,4096,20,25.870,25.882,25.918,26.066,26.149,26.220,26.661,26.661
batch,2,4096,20,49.134,49.182,49.491,49.865,50.056,50.107,50.460,50.460
exact_fused_n2,2,4096,20,56.305,56.494,56.629,56.735,56.984,57.241,57.310,57.310
sequential_exact,2,4096,20,51.980,52.080,52.161,52.377,52.620,52.771,52.939,52.939
batch,3,4096,20,57.075,57.192,57.532,57.729,58.096,58.791,59.495,59.495
sequential_exact,3,4096,20,78.257,78.557,78.804,79.274,79.529,80.410,82.181,82.181
batch,4,4096,20,68.144,68.562,68.786,68.948,69.164,69.467,69.943,69.943
sequential_exact,4,4096,20,111.332,111.624,111.842,112.069,112.639,112.875,113.439,113.439
batch,5,4096,20,74.061,74.409,74.517,74.737,74.807,74.913,75.116,75.116
sequential_exact,5,4096,20,141.723,142.381,142.746,143.012,143.436,144.203,144.655,144.655
batch,6,4096,20,78.177,78.430,78.647,79.008,79.156,79.384,79.631,79.631
sequential_exact,6,4096,20,172.493,173.452,173.687,174.074,174.837,175.027,175.382,175.382
batch,7,4096,20,85.918,86.376,86.535,86.660,86.944,87.051,87.408,87.408
sequential_exact,7,4096,20,202.949,204.236,204.330,204.695,204.943,205.491,205.762,205.762
batch,8,4096,20,94.416,94.714,94.900,95.283,95.446,95.642,95.679,95.679
sequential_exact,8,4096,20,236.624,236.823,237.141,237.815,238.154,238.683,239.088,239.088
batch,1,8192,20,35.837,35.929,35.942,35.973,35.996,36.029,36.420,36.420
sequential_exact,1,8192,20,30.970,30.982,31.003,31.045,31.076,31.092,31.102,31.102
batch,2,8192,20,49.693,49.775,49.801,49.900,50.059,50.152,50.179,50.179
exact_fused_n2,2,8192,20,65.776,66.101,66.157,66.238,66.421,66.521,66.617,66.617
sequential_exact,2,8192,20,61.915,61.938,61.996,62.083,62.172,62.288,62.751,62.751
batch,3,8192,20,57.113,57.136,57.258,57.386,57.620,58.269,58.653,58.653
sequential_exact,3,8192,20,93.035,93.070,93.108,93.191,93.259,93.384,93.769,93.769
batch,4,8192,20,68.201,68.709,68.788,68.952,69.108,69.192,69.333,69.333
sequential_exact,4,8192,20,125.636,125.842,125.944,126.176,126.354,126.549,126.902,126.902
batch,5,8192,20,73.715,73.924,74.367,74.707,74.770,74.833,74.979,74.979
sequential_exact,5,8192,20,156.789,157.025,157.108,157.417,157.733,158.318,159.295,159.295
batch,6,8192,20,78.526,78.803,78.963,79.183,82.852,89.966,91.439,91.439
sequential_exact,6,8192,20,188.301,188.559,188.731,189.185,190.283,194.019,195.572,195.572
batch,7,8192,20,86.625,87.036,87.633,94.855,95.489,96.068,96.711,96.711
sequential_exact,7,8192,20,219.011,219.366,219.557,219.830,220.130,221.138,222.192,222.192
batch,8,8192,20,94.974,95.154,95.329,95.626,95.931,96.729,97.524,97.524
sequential_exact,8,8192,20,251.359,251.711,252.283,252.852,253.015,255.463,258.137,258.137
