kernel,L,ctx,n,min_ms,p10_ms,p25_ms,median_ms,p75_ms,p90_ms,p99_ms,max_ms
batch,1,2048,20,30.723,30.854,30.913,31.056,31.226,31.317,31.718,31.718
sequential_exact,1,2048,20,25.602,25.634,25.717,25.908,25.991,26.110,26.178,26.178
batch,2,2048,20,41.181,41.510,41.630,41.677,41.817,41.950,42.050,42.050
exact_fused_n2,2,2048,20,55.442,55.750,56.009,56.114,56.204,56.427,56.712,56.712
sequential_exact,2,2048,20,51.078,51.139,51.197,51.421,51.496,51.613,51.867,51.867
batch,3,2048,20,49.943,50.361,50.480,50.725,50.950,51.127,51.240,51.240
sequential_exact,3,2048,20,76.618,76.749,76.832,76.962,77.062,77.259,77.615,77.615
batch,4,2048,20,69.002,69.102,69.699,69.828,70.051,70.158,70.352,70.352
sequential_exact,4,2048,20,104.270,104.300,104.363,104.435,104.599,104.771,104.878,104.878
batch,5,2048,20,74.730,75.152,75.573,75.725,75.781,75.855,75.919,75.919
sequential_exact,5,2048,20,130.299,130.414,130.475,130.615,130.660,130.797,131.194,131.194
batch,6,2048,20,79.787,79.847,80.019,80.117,80.167,80.196,80.374,80.374
sequential_exact,6,2048,20,156.018,156.110,156.309,156.932,157.076,159.858,168.225,168.225
batch,7,2048,20,87.763,87.907,87.945,88.007,88.106,88.185,88.563,88.563
sequential_exact,7,2048,20,181.505,181.699,181.788,181.889,182.080,182.214,186.211,186.211
batch,8,2048,20,95.668,96.217,96.346,96.403,96.474,96.507,96.629,96.629
sequential_exact,8,2048,20,208.700,208.804,208.915,209.046,209.197,209.296,209.956,209.956
batch,1,4096,20,36.057,36.150,36.207,36.267,36.315,36.353,36.457,36.457
sequential_exact,1,4096,20,25.839,25.851,25.990,26.082,26.168,26.230,26.288,26.288
batch,2,4096,20,49.349,49.447,49.563,49.768,49.886,49.959,50.313,50.313
exact_fused_n2,2,4096,20,56.062,56.216,56.493,56.636,56.719,56.847,57.255,57.255
sequential_exact,2,4096,20,51.616,51.678,51.871,51.930,51.976,52.170,52.221,52.221
batch,3,4096,20,57.045,57.171,57.307,57.376,57.428,57.555,57.690,57.690
sequential_exact,3,4096,20,77.729,77.782,77.939,78.371,78.502,78.736,79.060,79.060
batch,4,4096,20,68.544,68.809,68.908,69.027,69.154,69.197,69.341,69.341
sequential_exact,4,4096,20,110.291,110.414,110.543,110.812,110.943,111.328,111.733,111.733
batch,5,4096,20,73.649,74.260,74.437,74.567,74.700,74.876,74.999,74.999
sequential_exact,5,4096,20,141.088,141.392,141.640,141.920,142.185,142.607,143.397,143.397
batch,6,4096,20,78.569,78.676,78.784,78.902,79.039,79.155,79.545,79.545
sequential_exact,6,4096,20,172.068,172.233,172.408,172.868,173.121,173.306,174.314,174.314
batch,7,4096,20,86.035,86.551,86.663,86.738,86.951,87.181,87.239,87.239
sequential_exact,7,4096,20,202.913,203.084,203.237,203.627,203.773,204.101,204.646,204.646
batch,8,4096,20,94.584,95.040,95.118,95.248,95.381,95.482,95.872,95.872
sequential_exact,8,4096,20,235.449,235.587,235.665,236.075,236.219,236.666,236.708,236.708
batch,1,8192,20,35.823,35.933,35.958,36.035,36.216,36.599,36.957,36.957
sequential_exact,1,8192,20,30.986,31.008,31.044,31.120,31.257,31.697,31.791,31.791
batch,2,8192,20,49.310,49.607,49.775,49.852,49.890,50.045,50.149,50.149
exact_fused_n2,2,8192,20,66.037,66.183,66.219,66.339,66.490,66.926,68.217,68.217
sequential_exact,2,8192,20,61.956,61.975,62.032,62.146,62.200,63.478,63.656,63.656
batch,3,8192,20,57.267,57.324,57.367,57.409,57.425,57.470,57.560,57.560
sequential_exact,3,8192,20,92.939,93.007,93.031,93.065,93.151,93.199,94.058,94.058
batch,4,8192,20,68.610,68.642,68.737,68.870,68.936,68.977,69.451,69.451
sequential_exact,4,8192,20,125.635,125.707,125.748,125.820,125.933,126.038,126.419,126.419
batch,5,8192,20,73.698,74.280,74.324,74.490,74.614,74.693,74.886,74.886
sequential_exact,5,8192,20,156.689,156.727,156.841,156.934,156.989,157.015,157.134,157.134
batch,6,8192,20,77.802,78.442,78.556,78.788,79.011,79.091,80.236,80.236
sequential_exact,6,8192,20,187.658,187.848,187.909,188.005,188.126,188.319,188.386,188.386
batch,7,8192,20,86.580,86.677,86.751,86.880,86.932,87.026,87.406,87.406
sequential_exact,7,8192,20,218.707,218.836,218.902,219.004,219.123,219.301,219.729,219.729
batch,8,8192,20,94.727,95.114,95.153,95.233,95.281,95.398,95.449,95.449
sequential_exact,8,8192,20,251.728,251.848,251.917,252.129,252.227,252.288,252.387,252.387
